"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"1",1,28,"disamb","fp","disamb fp",8,0,324,324,71,-0.5,0.5,324
"3",1,46,"disamb","fp","disamb fp",6,0,292,292,71,-0.5,-0.5,292
"5",1,40,"disamb","fp","disamb fp",8,0,329,329,71,-0.5,0.5,329
"7",1,25,"disamb","fp","disamb fp",5,0,146,146,71,0.5,-0.5,146
"9",1,42,"disamb","fp","disamb fp",6,0,282,282,71,-0.5,-0.5,282
"11",1,37,"disamb","fp","disamb fp",5,0,323,323,71,0.5,-0.5,323
"13",1,26,"disamb","fp","disamb fp",6,0,309,309,71,-0.5,-0.5,309
"15",1,30,"disamb","fp","disamb fp",6,0,299,299,71,-0.5,-0.5,299
"17",1,32,"disamb","fp","disamb fp",8,0,323,323,71,-0.5,0.5,323
"19",1,31,"disamb","fp","disamb fp",7,1,0,NA,71,0.5,0.5,NA
"21",1,47,"disamb","fp","disamb fp",7,0,232,232,71,0.5,0.5,232
"23",1,44,"disamb","fp","disamb fp",8,0,686,686,71,-0.5,0.5,NA
"25",1,27,"disamb","fp","disamb fp",7,0,317,317,71,0.5,0.5,317
"27",1,33,"disamb","fp","disamb fp",5,0,290,290,71,0.5,-0.5,290
"29",1,45,"disamb","fp","disamb fp",5,0,220,220,71,0.5,-0.5,220
"31",1,34,"disamb","fp","disamb fp",6,0,179,179,71,-0.5,-0.5,179
"33",1,35,"disamb","fp","disamb fp",7,0,190,190,71,0.5,0.5,190
"35",1,29,"disamb","fp","disamb fp",5,0,325,325,71,0.5,-0.5,325
"37",1,41,"disamb","fp","disamb fp",5,0,205,205,71,0.5,-0.5,205
"39",1,38,"disamb","fp","disamb fp",6,0,310,310,71,-0.5,-0.5,310
"41",1,43,"disamb","fp","disamb fp",7,0,364,364,71,0.5,0.5,364
"43",1,39,"disamb","fp","disamb fp",7,0,404,404,71,0.5,0.5,404
"45",1,48,"disamb","fp","disamb fp",8,0,211,211,71,-0.5,0.5,211
"47",1,36,"disamb","fp","disamb fp",8,0,267,267,71,-0.5,0.5,267
"49",2,32,"disamb","fp","disamb fp",5,0,496,496,71,0.5,-0.5,496
"51",2,48,"disamb","fp","disamb fp",5,0,180,180,71,0.5,-0.5,180
"53",2,40,"disamb","fp","disamb fp",5,1,0,NA,71,0.5,-0.5,NA
"55",2,28,"disamb","fp","disamb fp",5,0,705,705,71,0.5,-0.5,705
"57",2,38,"disamb","fp","disamb fp",7,0,640,640,71,0.5,0.5,640
"59",2,42,"disamb","fp","disamb fp",7,0,364,364,71,0.5,0.5,364
"61",2,37,"disamb","fp","disamb fp",6,0,273,273,71,-0.5,-0.5,273
"63",2,29,"disamb","fp","disamb fp",6,0,203,203,71,-0.5,-0.5,203
"65",2,45,"disamb","fp","disamb fp",6,0,383,383,71,-0.5,-0.5,383
"67",2,41,"disamb","fp","disamb fp",6,0,433,433,71,-0.5,-0.5,433
"69",2,35,"disamb","fp","disamb fp",8,0,507,507,71,-0.5,0.5,507
"71",2,44,"disamb","fp","disamb fp",5,0,721,721,71,0.5,-0.5,721
"73",2,46,"disamb","fp","disamb fp",7,1,0,NA,71,0.5,0.5,NA
"75",2,26,"disamb","fp","disamb fp",7,0,210,210,71,0.5,0.5,210
"77",2,25,"disamb","fp","disamb fp",6,1,0,NA,71,-0.5,-0.5,NA
"79",2,47,"disamb","fp","disamb fp",8,0,356,356,71,-0.5,0.5,356
"81",2,34,"disamb","fp","disamb fp",7,1,0,NA,71,0.5,0.5,NA
"83",2,43,"disamb","fp","disamb fp",8,0,334,334,71,-0.5,0.5,334
"85",2,33,"disamb","fp","disamb fp",6,0,424,424,71,-0.5,-0.5,424
"87",2,39,"disamb","fp","disamb fp",8,0,870,870,71,-0.5,0.5,870
"89",2,30,"disamb","fp","disamb fp",7,0,130,130,71,0.5,0.5,130
"91",2,31,"disamb","fp","disamb fp",8,0,111,111,71,-0.5,0.5,111
"93",2,36,"disamb","fp","disamb fp",5,0,674,674,71,0.5,-0.5,674
"95",2,27,"disamb","fp","disamb fp",8,0,209,209,71,-0.5,0.5,209
"97",3,36,"disamb","fp","disamb fp",6,0,244,244,71,-0.5,-0.5,244
"99",3,27,"disamb","fp","disamb fp",5,0,239,239,71,0.5,-0.5,239
