"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"1",23041,"Native",1,38,"disamb","tt","disamb tt",6,0,328,328,0.5,0.5
"2",23043,"Native",1,39,"disamb","tt","disamb tt",7,0,1822,1822,0.5,0.5
"3",23045,"Native",1,26,"disamb","tt","disamb tt",6,0,336,336,0.5,0.5
"4",23047,"Native",1,34,"disamb","tt","disamb tt",6,0,283,283,0.5,0.5
"5",23049,"Native",1,46,"disamb","tt","disamb tt",6,0,376,376,0.5,0.5
"6",23051,"Native",1,29,"disamb","tt","disamb tt",5,0,485,485,0.5,0.5
"7",23053,"Native",1,36,"disamb","tt","disamb tt",8,0,1782,1782,0.5,0.5
"8",23055,"Native",1,30,"disamb","tt","disamb tt",6,0,546,546,0.5,0.5
"9",23057,"Native",1,40,"disamb","tt","disamb tt",8,0,513,513,0.5,0.5
"10",23059,"Native",1,33,"disamb","tt","disamb tt",5,0,558,558,0.5,0.5
"11",23061,"Native",1,43,"disamb","tt","disamb tt",7,0,1409,1409,0.5,0.5
"12",23063,"Native",1,28,"disamb","tt","disamb tt",8,0,732,732,0.5,0.5
"13",23065,"Native",1,31,"disamb","tt","disamb tt",7,0,751,751,0.5,0.5
"14",23067,"Native",1,45,"disamb","tt","disamb tt",5,0,298,298,0.5,0.5
"15",23069,"Native",1,25,"disamb","tt","disamb tt",5,0,956,956,0.5,0.5
"16",23071,"Native",1,41,"disamb","tt","disamb tt",5,0,752,752,0.5,0.5
"17",23073,"Native",1,42,"disamb","tt","disamb tt",6,0,1555,1555,0.5,0.5
"18",23075,"Native",1,37,"disamb","tt","disamb tt",5,0,1224,1224,0.5,0.5
"19",23077,"Native",1,32,"disamb","tt","disamb tt",8,0,1022,1022,0.5,0.5
"20",23079,"Native",1,48,"disamb","tt","disamb tt",8,0,269,269,0.5,0.5
"21",23081,"Native",1,47,"disamb","tt","disamb tt",7,0,177,177,0.5,0.5
"22",23083,"Native",1,44,"disamb","tt","disamb tt",8,0,405,405,0.5,0.5
"23",23085,"Native",1,27,"disamb","tt","disamb tt",7,0,2518,2518,0.5,0.5
"24",23087,"Native",1,35,"disamb","tt","disamb tt",7,0,1217,1217,0.5,0.5
