"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"1910",1,28,"spillover1","fp","spillover1 fp",8,0,610,610,74,-0.5,0.5,610
"1912",1,46,"spillover1","fp","spillover1 fp",6,0,269,269,74,-0.5,-0.5,269
"1914",1,40,"spillover1","fp","spillover1 fp",8,0,612,612,74,-0.5,0.5,612
"1916",1,25,"spillover1","fp","spillover1 fp",5,0,1106,1106,74,0.5,-0.5,1106
"1918",1,42,"spillover1","fp","spillover1 fp",6,0,500,500,74,-0.5,-0.5,500
"1920",1,37,"spillover1","fp","spillover1 fp",5,0,667,667,74,0.5,-0.5,667
"1922",1,26,"spillover1","fp","spillover1 fp",6,0,382,382,74,-0.5,-0.5,382
"1924",1,30,"spillover1","fp","spillover1 fp",6,0,651,651,74,-0.5,-0.5,651
"1926",1,32,"spillover1","fp","spillover1 fp",8,0,581,581,74,-0.5,0.5,581
"1928",1,31,"spillover1","fp","spillover1 fp",7,0,558,558,74,0.5,0.5,558
"1930",1,47,"spillover1","fp","spillover1 fp",7,0,271,271,74,0.5,0.5,271
"1932",1,44,"spillover1","fp","spillover1 fp",8,0,550,550,74,-0.5,0.5,550
"1934",1,27,"spillover1","fp","spillover1 fp",7,0,931,931,74,0.5,0.5,931
"1936",1,33,"spillover1","fp","spillover1 fp",5,0,651,651,74,0.5,-0.5,651
"1938",1,45,"spillover1","fp","spillover1 fp",5,0,883,883,74,0.5,-0.5,883
"1940",1,34,"spillover1","fp","spillover1 fp",6,0,390,390,74,-0.5,-0.5,390
"1942",1,35,"spillover1","fp","spillover1 fp",7,0,269,269,74,0.5,0.5,269
"1944",1,29,"spillover1","fp","spillover1 fp",5,0,802,802,74,0.5,-0.5,802
"1946",1,41,"spillover1","fp","spillover1 fp",5,0,962,962,74,0.5,-0.5,962
"1948",1,38,"spillover1","fp","spillover1 fp",6,0,377,377,74,-0.5,-0.5,377
"1950",1,43,"spillover1","fp","spillover1 fp",7,0,824,824,74,0.5,0.5,824
"1952",1,39,"spillover1","fp","spillover1 fp",7,0,982,982,74,0.5,0.5,982
"1954",1,48,"spillover1","fp","spillover1 fp",8,0,732,732,74,-0.5,0.5,732
"1956",1,36,"spillover1","fp","spillover1 fp",8,0,298,298,74,-0.5,0.5,298
"1958",2,32,"spillover1","fp","spillover1 fp",5,0,1577,1577,74,0.5,-0.5,1577
"1960",2,48,"spillover1","fp","spillover1 fp",5,0,1990,1990,74,0.5,-0.5,1990
"1962",2,40,"spillover1","fp","spillover1 fp",5,1,0,NA,74,0.5,-0.5,NA
"1964",2,28,"spillover1","fp","spillover1 fp",5,0,221,221,74,0.5,-0.5,221
"1966",2,38,"spillover1","fp","spillover1 fp",7,0,1883,1883,74,0.5,0.5,1883
"1968",2,42,"spillover1","fp","spillover1 fp",7,0,595,595,74,0.5,0.5,595
"1970",2,37,"spillover1","fp","spillover1 fp",6,0,733,733,74,-0.5,-0.5,733
