"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"337",1,28,"spillover1","rp",71,0.5,"spillover1 rp",8,0,610,610,-0.5,0.5,610
"339",1,46,"spillover1","rp",71,0.5,"spillover1 rp",6,0,3348,3348,-0.5,-0.5,3348
"341",1,40,"spillover1","rp",71,0.5,"spillover1 rp",8,0,850,850,-0.5,0.5,850
"343",1,25,"spillover1","rp",71,0.5,"spillover1 rp",5,0,2998,2998,0.5,-0.5,2998
"345",1,42,"spillover1","rp",71,0.5,"spillover1 rp",6,0,500,500,-0.5,-0.5,500
"347",1,37,"spillover1","rp",71,0.5,"spillover1 rp",5,0,2149,2149,0.5,-0.5,2149
"349",1,26,"spillover1","rp",71,0.5,"spillover1 rp",6,0,971,971,-0.5,-0.5,971
"351",1,30,"spillover1","rp",71,0.5,"spillover1 rp",6,0,2455,2455,-0.5,-0.5,2455
"353",1,32,"spillover1","rp",71,0.5,"spillover1 rp",8,0,2576,2576,-0.5,0.5,2576
"355",1,31,"spillover1","rp",71,0.5,"spillover1 rp",7,0,1372,1372,0.5,0.5,1372
"357",1,47,"spillover1","rp",71,0.5,"spillover1 rp",7,0,1436,1436,0.5,0.5,1436
"359",1,44,"spillover1","rp",71,0.5,"spillover1 rp",8,0,550,550,-0.5,0.5,550
"361",1,27,"spillover1","rp",71,0.5,"spillover1 rp",7,0,2031,2031,0.5,0.5,2031
"363",1,33,"spillover1","rp",71,0.5,"spillover1 rp",5,0,651,651,0.5,-0.5,651
"365",1,45,"spillover1","rp",71,0.5,"spillover1 rp",5,0,3542,3542,0.5,-0.5,3542
"367",1,34,"spillover1","rp",71,0.5,"spillover1 rp",6,0,390,390,-0.5,-0.5,390
"369",1,35,"spillover1","rp",71,0.5,"spillover1 rp",7,0,2415,2415,0.5,0.5,2415
"371",1,29,"spillover1","rp",71,0.5,"spillover1 rp",5,0,802,802,0.5,-0.5,802
"373",1,41,"spillover1","rp",71,0.5,"spillover1 rp",5,0,4145,4145,0.5,-0.5,4145
"375",1,38,"spillover1","rp",71,0.5,"spillover1 rp",6,0,377,377,-0.5,-0.5,377
"377",1,43,"spillover1","rp",71,0.5,"spillover1 rp",7,0,824,824,0.5,0.5,824
"379",1,39,"spillover1","rp",71,0.5,"spillover1 rp",7,0,4800,4800,0.5,0.5,4800
"381",1,48,"spillover1","rp",71,0.5,"spillover1 rp",8,0,3727,3727,-0.5,0.5,3727
"383",1,36,"spillover1","rp",71,0.5,"spillover1 rp",8,0,298,298,-0.5,0.5,298
"1201",2,32,"spillover1","rp",71,0.5,"spillover1 rp",5,0,1577,1577,0.5,-0.5,1577
"1203",2,48,"spillover1","rp",71,0.5,"spillover1 rp",5,0,1990,1990,0.5,-0.5,1990
"1205",2,40,"spillover1","rp",71,0.5,"spillover1 rp",5,1,0,NA,0.5,-0.5,NA
"1207",2,28,"spillover1","rp",71,0.5,"spillover1 rp",5,0,1609,1609,0.5,-0.5,1609
"1209",2,38,"spillover1","rp",71,0.5,"spillover1 rp",7,0,1883,1883,0.5,0.5,1883
"1211",2,42,"spillover1","rp",71,0.5,"spillover1 rp",7,0,595,595,0.5,0.5,595
"1213",2,37,"spillover1","rp",71,0.5,"spillover1 rp",6,0,733,733,-0.5,-0.5,733
"1215",2,29,"spillover1","rp",71,0.5,"spillover1 rp",6,0,353,353,-0.5,-0.5,353
"1217",2,45,"spillover1","rp",71,0.5,"spillover1 rp",6,0,504,504,-0.5,-0.5,504
"1219",2,41,"spillover1","rp",71,0.5,"spillover1 rp",6,0,667,667,-0.5,-0.5,667
"1221",2,35,"spillover1","rp",71,0.5,"spillover1 rp",8,0,300,300,-0.5,0.5,300
"1223",2,44,"spillover1","rp",71,0.5,"spillover1 rp",5,0,1174,1174,0.5,-0.5,1174
"1225",2,46,"spillover1","rp",71,0.5,"spillover1 rp",7,0,200,200,0.5,0.5,200
"1227",2,26,"spillover1","rp",71,0.5,"spillover1 rp",7,0,657,657,0.5,0.5,657
"1229",2,25,"spillover1","rp",71,0.5,"spillover1 rp",6,1,0,NA,-0.5,-0.5,NA
"1231",2,47,"spillover1","rp",71,0.5,"spillover1 rp",8,0,270,270,-0.5,0.5,270
"1233",2,34,"spillover1","rp",71,0.5,"spillover1 rp",7,0,427,427,0.5,0.5,427
"1235",2,43,"spillover1","rp",71,0.5,"spillover1 rp",8,0,423,423,-0.5,0.5,423
"1237",2,33,"spillover1","rp",71,0.5,"spillover1 rp",6,0,559,559,-0.5,-0.5,559
"1239",2,39,"spillover1","rp",71,0.5,"spillover1 rp",8,0,692,692,-0.5,0.5,692
"1241",2,30,"spillover1","rp",71,0.5,"spillover1 rp",7,0,1239,1239,0.5,0.5,1239
"1243",2,31,"spillover1","rp",71,0.5,"spillover1 rp",8,0,482,482,-0.5,0.5,482
"1245",2,36,"spillover1","rp",71,0.5,"spillover1 rp",5,0,639,639,0.5,-0.5,639
"1247",2,27,"spillover1","rp",71,0.5,"spillover1 rp",8,0,200,200,-0.5,0.5,200
"2065",3,36,"spillover1","rp",74,-0.5,"spillover1 rp",6,0,582,582,-0.5,-0.5,582
"2067",3,27,"spillover1","rp",74,-0.5,"spillover1 rp",5,0,13385,13385,0.5,-0.5,13385
"2069",3,37,"spillover1","rp",74,-0.5,"spillover1 rp",7,0,1965,1965,0.5,0.5,1965
"2071",3,41,"spillover1","rp",74,-0.5,"spillover1 rp",7,0,20211,20211,0.5,0.5,NA
"2073",3,26,"spillover1","rp",74,-0.5,"spillover1 rp",8,0,1198,1198,-0.5,0.5,1198
"2075",3,45,"spillover1","rp",74,-0.5,"spillover1 rp",7,0,1216,1216,0.5,0.5,1216
"2077",3,42,"spillover1","rp",74,-0.5,"spillover1 rp",8,0,480,480,-0.5,0.5,480
"2079",3,47,"spillover1","rp",74,-0.5,"spillover1 rp",5,0,1231,1231,0.5,-0.5,1231
"2081",3,29,"spillover1","rp",74,-0.5,"spillover1 rp",7,0,977,977,0.5,0.5,977
"2083",3,34,"spillover1","rp",74,-0.5,"spillover1 rp",8,0,863,863,-0.5,0.5,863
"2085",3,39,"spillover1","rp",74,-0.5,"spillover1 rp",5,0,1009,1009,0.5,-0.5,1009
"2087",3,48,"spillover1","rp",74,-0.5,"spillover1 rp",6,0,5923,5923,-0.5,-0.5,5923
"2089",3,44,"spillover1","rp",74,-0.5,"spillover1 rp",6,0,742,742,-0.5,-0.5,742
"2091",3,43,"spillover1","rp",74,-0.5,"spillover1 rp",5,0,1211,1211,0.5,-0.5,1211
"2093",3,28,"spillover1","rp",74,-0.5,"spillover1 rp",6,0,580,580,-0.5,-0.5,580
"2095",3,40,"spillover1","rp",74,-0.5,"spillover1 rp",6,0,642,642,-0.5,-0.5,642
"2097",3,30,"spillover1","rp",74,-0.5,"spillover1 rp",8,0,532,532,-0.5,0.5,532
"2099",3,32,"spillover1","rp",74,-0.5,"spillover1 rp",6,0,385,385,-0.5,-0.5,385
"2101",3,25,"spillover1","rp",74,-0.5,"spillover1 rp",7,0,4463,4463,0.5,0.5,4463
"2103",3,38,"spillover1","rp",74,-0.5,"spillover1 rp",8,0,1024,1024,-0.5,0.5,1024
"2105",3,33,"spillover1","rp",74,-0.5,"spillover1 rp",7,0,717,717,0.5,0.5,717
"2107",3,31,"spillover1","rp",74,-0.5,"spillover1 rp",5,0,1594,1594,0.5,-0.5,1594
"2109",3,46,"spillover1","rp",74,-0.5,"spillover1 rp",8,0,1053,1053,-0.5,0.5,1053
"2111",3,35,"spillover1","rp",74,-0.5,"spillover1 rp",5,0,1372,1372,0.5,-0.5,1372
"2901",4,28,"spillover1","rp",72,-0.5,"spillover1 rp",7,0,8277,8277,0.5,0.5,8277
"2903",4,31,"spillover1","rp",72,-0.5,"spillover1 rp",6,0,2867,2867,-0.5,-0.5,2867
"2905",4,44,"spillover1","rp",72,-0.5,"spillover1 rp",7,0,7472,7472,0.5,0.5,7472
"2907",4,26,"spillover1","rp",72,-0.5,"spillover1 rp",5,0,1744,1744,0.5,-0.5,1744
"2909",4,37,"spillover1","rp",72,-0.5,"spillover1 rp",8,0,1160,1160,-0.5,0.5,1160
"2911",4,32,"spillover1","rp",72,-0.5,"spillover1 rp",7,0,10240,10240,0.5,0.5,10240
"2913",4,36,"spillover1","rp",72,-0.5,"spillover1 rp",7,0,2284,2284,0.5,0.5,2284
"2915",4,38,"spillover1","rp",72,-0.5,"spillover1 rp",5,0,1574,1574,0.5,-0.5,1574
"2917",4,46,"spillover1","rp",72,-0.5,"spillover1 rp",5,0,1762,1762,0.5,-0.5,1762
"2918",4,29,"spillover1","rp",72,-0.5,"spillover1 rp",8,0,686,686,-0.5,0.5,686
"2920",4,43,"spillover1","rp",72,-0.5,"spillover1 rp",6,0,1236,1236,-0.5,-0.5,1236
"2922",4,33,"spillover1","rp",72,-0.5,"spillover1 rp",8,0,1199,1199,-0.5,0.5,1199
"2924",4,45,"spillover1","rp",72,-0.5,"spillover1 rp",8,0,1687,1687,-0.5,0.5,1687
"2926",4,30,"spillover1","rp",72,-0.5,"spillover1 rp",5,0,5121,5121,0.5,-0.5,5121
"2927",4,40,"spillover1","rp",72,-0.5,"spillover1 rp",7,0,10939,10939,0.5,0.5,10939
"2929",4,41,"spillover1","rp",72,-0.5,"spillover1 rp",8,0,1609,1609,-0.5,0.5,1609
"2931",4,48,"spillover1","rp",72,-0.5,"spillover1 rp",7,0,4970,4970,0.5,0.5,4970
"2933",4,42,"spillover1","rp",72,-0.5,"spillover1 rp",5,0,864,864,0.5,-0.5,864
"2934",4,25,"spillover1","rp",72,-0.5,"spillover1 rp",8,0,921,921,-0.5,0.5,921
"2936",4,27,"spillover1","rp",72,-0.5,"spillover1 rp",6,0,1663,1663,-0.5,-0.5,1663
"2938",4,47,"spillover1","rp",72,-0.5,"spillover1 rp",6,0,1138,1138,-0.5,-0.5,1138
"2940",4,39,"spillover1","rp",72,-0.5,"spillover1 rp",6,0,2127,2127,-0.5,-0.5,2127
"2942",4,34,"spillover1","rp",72,-0.5,"spillover1 rp",5,0,1492,1492,0.5,-0.5,1492
"2943",4,35,"spillover1","rp",72,-0.5,"spillover1 rp",6,0,763,763,-0.5,-0.5,763
"3722",5,42,"spillover1","rp",66,0.5,"spillover1 rp",6,0,402,402,-0.5,-0.5,402
"3724",5,47,"spillover1","rp",66,0.5,"spillover1 rp",7,0,2276,2276,0.5,0.5,2276
"3726",5,25,"spillover1","rp",66,0.5,"spillover1 rp",5,0,918,918,0.5,-0.5,918
"3728",5,43,"spillover1","rp",66,0.5,"spillover1 rp",7,0,1821,1821,0.5,0.5,1821
"3730",5,33,"spillover1","rp",66,0.5,"spillover1 rp",5,0,531,531,0.5,-0.5,531
"3732",5,41,"spillover1","rp",66,0.5,"spillover1 rp",5,0,2232,2232,0.5,-0.5,2232
