"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"193",1,28,"spillover2","fp",71,"spillover2 fp",8,0,318,318,-0.5,0.5
"195",1,46,"spillover2","fp",71,"spillover2 fp",6,0,509,509,-0.5,-0.5
"197",1,40,"spillover2","fp",71,"spillover2 fp",8,0,143,143,-0.5,0.5
"199",1,25,"spillover2","fp",71,"spillover2 fp",5,0,330,330,0.5,-0.5
"201",1,42,"spillover2","fp",71,"spillover2 fp",6,0,329,329,-0.5,-0.5
"203",1,37,"spillover2","fp",71,"spillover2 fp",5,0,340,340,0.5,-0.5
"205",1,26,"spillover2","fp",71,"spillover2 fp",6,0,197,197,-0.5,-0.5
"207",1,30,"spillover2","fp",71,"spillover2 fp",6,0,164,164,-0.5,-0.5
"209",1,32,"spillover2","fp",71,"spillover2 fp",8,0,307,307,-0.5,0.5
"211",1,31,"spillover2","fp",71,"spillover2 fp",7,0,175,175,0.5,0.5
"213",1,47,"spillover2","fp",71,"spillover2 fp",7,0,545,545,0.5,0.5
"215",1,44,"spillover2","fp",71,"spillover2 fp",8,1,0,NA,-0.5,0.5
"217",1,27,"spillover2","fp",71,"spillover2 fp",7,0,149,149,0.5,0.5
"219",1,33,"spillover2","fp",71,"spillover2 fp",5,0,328,328,0.5,-0.5
"221",1,45,"spillover2","fp",71,"spillover2 fp",5,0,224,224,0.5,-0.5
"223",1,34,"spillover2","fp",71,"spillover2 fp",6,0,229,229,-0.5,-0.5
"225",1,35,"spillover2","fp",71,"spillover2 fp",7,0,422,422,0.5,0.5
"227",1,29,"spillover2","fp",71,"spillover2 fp",5,0,191,191,0.5,-0.5
"229",1,41,"spillover2","fp",71,"spillover2 fp",5,0,224,224,0.5,-0.5
"231",1,38,"spillover2","fp",71,"spillover2 fp",6,0,347,347,-0.5,-0.5
"233",1,43,"spillover2","fp",71,"spillover2 fp",7,0,156,156,0.5,0.5
"235",1,39,"spillover2","fp",71,"spillover2 fp",7,0,413,413,0.5,0.5
"237",1,48,"spillover2","fp",71,"spillover2 fp",8,0,343,343,-0.5,0.5
"239",1,36,"spillover2","fp",71,"spillover2 fp",8,1,0,NA,-0.5,0.5
"1057",2,32,"spillover2","fp",71,"spillover2 fp",5,0,1051,1051,0.5,-0.5
"1059",2,48,"spillover2","fp",71,"spillover2 fp",5,0,445,445,0.5,-0.5
"1061",2,40,"spillover2","fp",71,"spillover2 fp",5,0,197,197,0.5,-0.5
"1063",2,28,"spillover2","fp",71,"spillover2 fp",5,1,0,NA,0.5,-0.5
"1065",2,38,"spillover2","fp",71,"spillover2 fp",7,0,311,311,0.5,0.5
"1067",2,42,"spillover2","fp",71,"spillover2 fp",7,1,0,NA,0.5,0.5
"1069",2,37,"spillover2","fp",71,"spillover2 fp",6,1,0,NA,-0.5,-0.5
"1071",2,29,"spillover2","fp",71,"spillover2 fp",6,0,290,290,-0.5,-0.5
"1073",2,45,"spillover2","fp",71,"spillover2 fp",6,0,220,220,-0.5,-0.5
"1075",2,41,"spillover2","fp",71,"spillover2 fp",6,0,303,303,-0.5,-0.5
"1077",2,35,"spillover2","fp",71,"spillover2 fp",8,0,109,109,-0.5,0.5
"1079",2,44,"spillover2","fp",71,"spillover2 fp",5,1,0,NA,0.5,-0.5
"1081",2,46,"spillover2","fp",71,"spillover2 fp",7,1,0,NA,0.5,0.5
"1083",2,26,"spillover2","fp",71,"spillover2 fp",7,1,0,NA,0.5,0.5
"1085",2,25,"spillover2","fp",71,"spillover2 fp",6,1,0,NA,-0.5,-0.5
"1087",2,47,"spillover2","fp",71,"spillover2 fp",8,1,0,NA,-0.5,0.5
"1089",2,34,"spillover2","fp",71,"spillover2 fp",7,0,350,350,0.5,0.5
"1091",2,43,"spillover2","fp",71,"spillover2 fp",8,0,387,387,-0.5,0.5
"1093",2,33,"spillover2","fp",71,"spillover2 fp",6,0,621,621,-0.5,-0.5
"1095",2,39,"spillover2","fp",71,"spillover2 fp",8,0,393,393,-0.5,0.5
"1097",2,30,"spillover2","fp",71,"spillover2 fp",7,0,370,370,0.5,0.5
"1099",2,31,"spillover2","fp",71,"spillover2 fp",8,0,155,155,-0.5,0.5
"1101",2,36,"spillover2","fp",71,"spillover2 fp",5,0,581,581,0.5,-0.5
"1103",2,27,"spillover2","fp",71,"spillover2 fp",8,1,0,NA,-0.5,0.5
"1921",3,36,"spillover2","fp",74,"spillover2 fp",6,0,207,207,-0.5,-0.5
"1923",3,27,"spillover2","fp",74,"spillover2 fp",5,0,431,431,0.5,-0.5
"1925",3,37,"spillover2","fp",74,"spillover2 fp",7,0,459,459,0.5,0.5
"1927",3,41,"spillover2","fp",74,"spillover2 fp",7,0,431,431,0.5,0.5
"1929",3,26,"spillover2","fp",74,"spillover2 fp",8,0,397,397,-0.5,0.5
"1931",3,45,"spillover2","fp",74,"spillover2 fp",7,0,225,225,0.5,0.5
"1933",3,42,"spillover2","fp",74,"spillover2 fp",8,0,536,536,-0.5,0.5
