"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"2",1,18,"disamb","fp",71,"disamb fp",2,0,264,264,0.5,0.5
"4",1,15,"disamb","fp",71,"disamb fp",3,0,329,329,-0.5,-0.5
"6",1,1,"disamb","fp",71,"disamb fp",1,0,181,181,0.5,-0.5
"8",1,6,"disamb","fp",71,"disamb fp",2,0,277,277,0.5,0.5
"10",1,3,"disamb","fp",71,"disamb fp",3,0,147,147,-0.5,-0.5
"12",1,14,"disamb","fp",71,"disamb fp",2,0,371,371,0.5,0.5
"14",1,4,"disamb","fp",71,"disamb fp",4,0,206,206,-0.5,0.5
"16",1,17,"disamb","fp",71,"disamb fp",1,1,0,NA,0.5,-0.5
"18",1,5,"disamb","fp",71,"disamb fp",1,1,0,NA,0.5,-0.5
"20",1,13,"disamb","fp",71,"disamb fp",1,0,310,310,0.5,-0.5
"22",1,22,"disamb","fp",71,"disamb fp",2,0,519,519,0.5,0.5
"24",1,8,"disamb","fp",71,"disamb fp",4,0,283,283,-0.5,0.5
"26",1,9,"disamb","fp",71,"disamb fp",1,0,218,218,0.5,-0.5
"28",1,19,"disamb","fp",71,"disamb fp",3,0,203,203,-0.5,-0.5
"30",1,24,"disamb","fp",71,"disamb fp",4,0,199,199,-0.5,0.5
"32",1,12,"disamb","fp",71,"disamb fp",4,0,369,369,-0.5,0.5
"34",1,20,"disamb","fp",71,"disamb fp",4,0,223,223,-0.5,0.5
"36",1,10,"disamb","fp",71,"disamb fp",2,1,0,NA,0.5,0.5
"38",1,11,"disamb","fp",71,"disamb fp",3,0,263,263,-0.5,-0.5
"40",1,16,"disamb","fp",71,"disamb fp",4,0,902,902,-0.5,0.5
"42",1,7,"disamb","fp",71,"disamb fp",3,0,444,444,-0.5,-0.5
"44",1,2,"disamb","fp",71,"disamb fp",2,0,315,315,0.5,0.5
"46",1,21,"disamb","fp",71,"disamb fp",1,0,196,196,0.5,-0.5
"48",1,23,"disamb","fp",71,"disamb fp",3,0,441,441,-0.5,-0.5
"866",2,16,"disamb","fp",71,"disamb fp",1,0,234,234,0.5,-0.5
"868",2,4,"disamb","fp",71,"disamb fp",1,0,1162,1162,0.5,-0.5
"870",2,2,"disamb","fp",71,"disamb fp",3,0,877,877,-0.5,-0.5
"872",2,13,"disamb","fp",71,"disamb fp",2,0,240,240,0.5,0.5
"874",2,19,"disamb","fp",71,"disamb fp",4,0,1130,1130,-0.5,0.5
"876",2,12,"disamb","fp",71,"disamb fp",1,0,232,232,0.5,-0.5
"878",2,10,"disamb","fp",71,"disamb fp",3,0,747,747,-0.5,-0.5
"880",2,3,"disamb","fp",71,"disamb fp",4,0,471,471,-0.5,0.5
"882",2,9,"disamb","fp",71,"disamb fp",2,0,198,198,0.5,0.5
"884",2,21,"disamb","fp",71,"disamb fp",2,0,229,229,0.5,0.5
"886",2,15,"disamb","fp",71,"disamb fp",4,0,501,501,-0.5,0.5
"888",2,18,"disamb","fp",71,"disamb fp",3,0,264,264,-0.5,-0.5
"890",2,6,"disamb","fp",71,"disamb fp",3,0,166,166,-0.5,-0.5
"892",2,5,"disamb","fp",71,"disamb fp",2,0,154,154,0.5,0.5
"894",2,14,"disamb","fp",71,"disamb fp",3,0,361,361,-0.5,-0.5
"896",2,1,"disamb","fp",71,"disamb fp",2,0,153,153,0.5,0.5
"898",2,20,"disamb","fp",71,"disamb fp",1,1,0,NA,0.5,-0.5
