"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"290",1,18,"disamb","rp",71,0.5,"disamb rp",2,0,264,264,0.5,0.5,264
"292",1,15,"disamb","rp",71,0.5,"disamb rp",3,0,329,329,-0.5,-0.5,329
"294",1,1,"disamb","rp",71,0.5,"disamb rp",1,0,181,181,0.5,-0.5,181
"296",1,6,"disamb","rp",71,0.5,"disamb rp",2,0,277,277,0.5,0.5,277
"298",1,3,"disamb","rp",71,0.5,"disamb rp",3,0,562,562,-0.5,-0.5,562
"300",1,14,"disamb","rp",71,0.5,"disamb rp",2,0,1215,1215,0.5,0.5,1215
"302",1,4,"disamb","rp",71,0.5,"disamb rp",4,0,206,206,-0.5,0.5,206
"304",1,17,"disamb","rp",71,0.5,"disamb rp",1,1,0,NA,0.5,-0.5,NA
"306",1,5,"disamb","rp",71,0.5,"disamb rp",1,1,0,NA,0.5,-0.5,NA
"308",1,13,"disamb","rp",71,0.5,"disamb rp",1,0,310,310,0.5,-0.5,310
"310",1,22,"disamb","rp",71,0.5,"disamb rp",2,0,519,519,0.5,0.5,519
"312",1,8,"disamb","rp",71,0.5,"disamb rp",4,0,283,283,-0.5,0.5,283
"314",1,9,"disamb","rp",71,0.5,"disamb rp",1,0,218,218,0.5,-0.5,218
"316",1,19,"disamb","rp",71,0.5,"disamb rp",3,0,203,203,-0.5,-0.5,203
"318",1,24,"disamb","rp",71,0.5,"disamb rp",4,0,199,199,-0.5,0.5,199
"320",1,12,"disamb","rp",71,0.5,"disamb rp",4,0,1277,1277,-0.5,0.5,1277
"322",1,20,"disamb","rp",71,0.5,"disamb rp",4,0,223,223,-0.5,0.5,223
"324",1,10,"disamb","rp",71,0.5,"disamb rp",2,1,0,NA,0.5,0.5,NA
"326",1,11,"disamb","rp",71,0.5,"disamb rp",3,0,263,263,-0.5,-0.5,263
"328",1,16,"disamb","rp",71,0.5,"disamb rp",4,0,902,902,-0.5,0.5,902
"330",1,7,"disamb","rp",71,0.5,"disamb rp",3,0,444,444,-0.5,-0.5,444
"332",1,2,"disamb","rp",71,0.5,"disamb rp",2,0,315,315,0.5,0.5,315
"334",1,21,"disamb","rp",71,0.5,"disamb rp",1,0,196,196,0.5,-0.5,196
"336",1,23,"disamb","rp",71,0.5,"disamb rp",3,0,441,441,-0.5,-0.5,441
"1154",2,16,"disamb","rp",71,0.5,"disamb rp",1,0,1244,1244,0.5,-0.5,1244
"1156",2,4,"disamb","rp",71,0.5,"disamb rp",1,0,1162,1162,0.5,-0.5,1162
"1158",2,2,"disamb","rp",71,0.5,"disamb rp",3,0,877,877,-0.5,-0.5,877
"1160",2,13,"disamb","rp",71,0.5,"disamb rp",2,0,1119,1119,0.5,0.5,1119
"1162",2,19,"disamb","rp",71,0.5,"disamb rp",4,0,1130,1130,-0.5,0.5,1130
"1164",2,12,"disamb","rp",71,0.5,"disamb rp",1,0,232,232,0.5,-0.5,232
"1166",2,10,"disamb","rp",71,0.5,"disamb rp",3,0,747,747,-0.5,-0.5,747
"1168",2,3,"disamb","rp",71,0.5,"disamb rp",4,0,939,939,-0.5,0.5,939
"1170",2,9,"disamb","rp",71,0.5,"disamb rp",2,0,1107,1107,0.5,0.5,1107
"1172",2,21,"disamb","rp",71,0.5,"disamb rp",2,0,229,229,0.5,0.5,229
"1174",2,15,"disamb","rp",71,0.5,"disamb rp",4,0,501,501,-0.5,0.5,501
"1176",2,18,"disamb","rp",71,0.5,"disamb rp",3,0,264,264,-0.5,-0.5,264
"1178",2,6,"disamb","rp",71,0.5,"disamb rp",3,0,166,166,-0.5,-0.5,166
"1180",2,5,"disamb","rp",71,0.5,"disamb rp",2,0,154,154,0.5,0.5,154
"1182",2,14,"disamb","rp",71,0.5,"disamb rp",3,0,867,867,-0.5,-0.5,867
"1184",2,1,"disamb","rp",71,0.5,"disamb rp",2,0,467,467,0.5,0.5,467
"1186",2,20,"disamb","rp",71,0.5,"disamb rp",1,1,0,NA,0.5,-0.5,NA
"1188",2,11,"disamb","rp",71,0.5,"disamb rp",4,0,210,210,-0.5,0.5,210
"1190",2,7,"disamb","rp",71,0.5,"disamb rp",4,0,464,464,-0.5,0.5,464
"1192",2,23,"disamb","rp",71,0.5,"disamb rp",4,0,523,523,-0.5,0.5,523
"1194",2,8,"disamb","rp",71,0.5,"disamb rp",1,0,362,362,0.5,-0.5,362
"1196",2,17,"disamb","rp",71,0.5,"disamb rp",2,0,565,565,0.5,0.5,565
"1198",2,24,"disamb","rp",71,0.5,"disamb rp",1,0,241,241,0.5,-0.5,241
"1200",2,22,"disamb","rp",71,0.5,"disamb rp",3,0,234,234,-0.5,-0.5,234
"2018",3,18,"disamb","rp",74,-0.5,"disamb rp",4,0,288,288,-0.5,0.5,288
"2020",3,7,"disamb","rp",74,-0.5,"disamb rp",1,0,266,266,0.5,-0.5,266
"2022",3,16,"disamb","rp",74,-0.5,"disamb rp",2,0,695,695,0.5,0.5,695
"2024",3,5,"disamb","rp",74,-0.5,"disamb rp",3,0,414,414,-0.5,-0.5,414
"2026",3,24,"disamb","rp",74,-0.5,"disamb rp",2,0,355,355,0.5,0.5,355
"2028",3,4,"disamb","rp",74,-0.5,"disamb rp",2,0,198,198,0.5,0.5,198
"2030",3,14,"disamb","rp",74,-0.5,"disamb rp",4,0,167,167,-0.5,0.5,167
"2032",3,1,"disamb","rp",74,-0.5,"disamb rp",3,0,285,285,-0.5,-0.5,285
"2034",3,9,"disamb","rp",74,-0.5,"disamb rp",3,0,615,615,-0.5,-0.5,615
"2036",3,22,"disamb","rp",74,-0.5,"disamb rp",4,0,220,220,-0.5,0.5,220
"2038",3,10,"disamb","rp",74,-0.5,"disamb rp",4,0,205,205,-0.5,0.5,205
"2040",3,6,"disamb","rp",74,-0.5,"disamb rp",4,0,238,238,-0.5,0.5,238
"2042",3,23,"disamb","rp",74,-0.5,"disamb rp",1,0,279,279,0.5,-0.5,279
"2044",3,17,"disamb","rp",74,-0.5,"disamb rp",3,0,286,286,-0.5,-0.5,286
"2046",3,19,"disamb","rp",74,-0.5,"disamb rp",1,0,452,452,0.5,-0.5,452
"2048",3,13,"disamb","rp",74,-0.5,"disamb rp",3,0,558,558,-0.5,-0.5,558
"2050",3,20,"disamb","rp",74,-0.5,"disamb rp",2,0,756,756,0.5,0.5,756
"2052",3,11,"disamb","rp",74,-0.5,"disamb rp",1,0,302,302,0.5,-0.5,302
"2054",3,2,"disamb","rp",74,-0.5,"disamb rp",4,0,177,177,-0.5,0.5,177
"2056",3,12,"disamb","rp",74,-0.5,"disamb rp",2,0,310,310,0.5,0.5,310
"2058",3,21,"disamb","rp",74,-0.5,"disamb rp",3,0,397,397,-0.5,-0.5,397
"2060",3,15,"disamb","rp",74,-0.5,"disamb rp",1,0,915,915,0.5,-0.5,915
"2062",3,8,"disamb","rp",74,-0.5,"disamb rp",2,0,391,391,0.5,0.5,391
"2064",3,3,"disamb","rp",74,-0.5,"disamb rp",1,0,697,697,0.5,-0.5,697
"2858",4,7,"disamb","rp",72,-0.5,"disamb rp",2,0,720,720,0.5,0.5,720
