"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","gender","trimmed_nozero"
"22910",1,18,"disamb","tt","disamb tt",2,0,468,468,85,0.5,0.5,468
"22912",1,15,"disamb","tt","disamb tt",3,0,593,593,85,-0.5,-0.5,593
"22914",1,1,"disamb","tt","disamb tt",1,0,1133,1133,85,0.5,-0.5,1133
"22916",1,6,"disamb","tt","disamb tt",2,0,973,973,85,0.5,0.5,973
"22918",1,3,"disamb","tt","disamb tt",3,0,606,606,85,-0.5,-0.5,606
"22920",1,14,"disamb","tt","disamb tt",2,0,371,371,85,0.5,0.5,371
"22922",1,4,"disamb","tt","disamb tt",4,0,206,206,85,-0.5,0.5,206
"22924",1,17,"disamb","tt","disamb tt",1,1,0,NA,85,0.5,-0.5,NA
"22926",1,5,"disamb","tt","disamb tt",1,1,0,NA,85,0.5,-0.5,NA
"22928",1,13,"disamb","tt","disamb tt",1,0,739,739,85,0.5,-0.5,739
"22930",1,22,"disamb","tt","disamb tt",2,0,519,519,85,0.5,0.5,519
"22932",1,8,"disamb","tt","disamb tt",4,0,867,867,85,-0.5,0.5,867
"22934",1,9,"disamb","tt","disamb tt",1,0,368,368,85,0.5,-0.5,368
"22936",1,19,"disamb","tt","disamb tt",3,0,203,203,85,-0.5,-0.5,203
"22938",1,24,"disamb","tt","disamb tt",4,0,397,397,85,-0.5,0.5,397
"22940",1,12,"disamb","tt","disamb tt",4,0,1026,1026,85,-0.5,0.5,1026
"22942",1,20,"disamb","tt","disamb tt",4,0,477,477,85,-0.5,0.5,477
"22944",1,10,"disamb","tt","disamb tt",2,0,156,156,85,0.5,0.5,156
"22946",1,11,"disamb","tt","disamb tt",3,0,491,491,85,-0.5,-0.5,491
"22948",1,16,"disamb","tt","disamb tt",4,0,902,902,85,-0.5,0.5,902
"22950",1,7,"disamb","tt","disamb tt",3,0,925,925,85,-0.5,-0.5,925
"22952",1,2,"disamb","tt","disamb tt",2,0,1210,1210,85,0.5,0.5,1210
"22954",1,21,"disamb","tt","disamb tt",1,0,196,196,85,0.5,-0.5,196
"22956",1,23,"disamb","tt","disamb tt",3,0,633,633,85,-0.5,-0.5,633
"22958",2,16,"disamb","tt","disamb tt",1,0,900,900,85,0.5,-0.5,900
"22960",2,4,"disamb","tt","disamb tt",1,0,2536,2536,85,0.5,-0.5,NA
"22962",2,2,"disamb","tt","disamb tt",3,0,877,877,85,-0.5,-0.5,877
"22964",2,13,"disamb","tt","disamb tt",2,0,1035,1035,85,0.5,0.5,1035
"22966",2,19,"disamb","tt","disamb tt",4,0,1130,1130,85,-0.5,0.5,1130
"22968",2,12,"disamb","tt","disamb tt",1,0,232,232,85,0.5,-0.5,232
"22970",2,10,"disamb","tt","disamb tt",3,0,747,747,85,-0.5,-0.5,747
"22972",2,3,"disamb","tt","disamb tt",4,0,814,814,85,-0.5,0.5,814
"22974",2,9,"disamb","tt","disamb tt",2,0,882,882,85,0.5,0.5,882
"22976",2,21,"disamb","tt","disamb tt",2,0,229,229,85,0.5,0.5,229
"22978",2,15,"disamb","tt","disamb tt",4,0,501,501,85,-0.5,0.5,501
"22980",2,18,"disamb","tt","disamb tt",3,0,264,264,85,-0.5,-0.5,264
"22982",2,6,"disamb","tt","disamb tt",3,0,705,705,85,-0.5,-0.5,705
"22984",2,5,"disamb","tt","disamb tt",2,0,154,154,85,0.5,0.5,154
"22986",2,14,"disamb","tt","disamb tt",3,0,576,576,85,-0.5,-0.5,576
"22988",2,1,"disamb","tt","disamb tt",2,0,317,317,85,0.5,0.5,317
"22990",2,20,"disamb","tt","disamb tt",1,0,449,449,85,0.5,-0.5,449
"22992",2,11,"disamb","tt","disamb tt",4,0,210,210,85,-0.5,0.5,210
"22994",2,7,"disamb","tt","disamb tt",4,0,464,464,85,-0.5,0.5,464
"22996",2,23,"disamb","tt","disamb tt",4,0,405,405,85,-0.5,0.5,405
"22998",2,8,"disamb","tt","disamb tt",1,0,362,362,85,0.5,-0.5,362
"23000",2,17,"disamb","tt","disamb tt",2,0,378,378,85,0.5,0.5,378
"23002",2,24,"disamb","tt","disamb tt",1,0,241,241,85,0.5,-0.5,241
"23004",2,22,"disamb","tt","disamb tt",3,0,234,234,85,-0.5,-0.5,234
"23006",3,18,"disamb","tt","disamb tt",4,0,1044,1044,85,-0.5,0.5,1044
"23008",3,7,"disamb","tt","disamb tt",1,0,1879,1879,85,0.5,-0.5,1879
"23010",3,16,"disamb","tt","disamb tt",2,0,1803,1803,85,0.5,0.5,1803
"23012",3,5,"disamb","tt","disamb tt",3,0,839,839,85,-0.5,-0.5,839
"23014",3,24,"disamb","tt","disamb tt",2,0,1946,1946,85,0.5,0.5,1946
"23016",3,4,"disamb","tt","disamb tt",2,0,2104,2104,85,0.5,0.5,2104
"23018",3,14,"disamb","tt","disamb tt",4,0,1584,1584,85,-0.5,0.5,1584
