"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"98",1,18,"reflexive","fp",71,"reflexive fp",2,0,251,251,0.5,0.5
"100",1,15,"reflexive","fp",71,"reflexive fp",3,0,191,191,-0.5,-0.5
"102",1,1,"reflexive","fp",71,"reflexive fp",1,0,188,188,0.5,-0.5
"104",1,6,"reflexive","fp",71,"reflexive fp",2,0,165,165,0.5,0.5
"106",1,3,"reflexive","fp",71,"reflexive fp",3,0,188,188,-0.5,-0.5
"108",1,14,"reflexive","fp",71,"reflexive fp",2,1,0,NA,0.5,0.5
"110",1,4,"reflexive","fp",71,"reflexive fp",4,0,332,332,-0.5,0.5
"112",1,17,"reflexive","fp",71,"reflexive fp",1,0,160,160,0.5,-0.5
"114",1,5,"reflexive","fp",71,"reflexive fp",1,0,178,178,0.5,-0.5
"116",1,13,"reflexive","fp",71,"reflexive fp",1,0,198,198,0.5,-0.5
"118",1,22,"reflexive","fp",71,"reflexive fp",2,0,224,224,0.5,0.5
"120",1,8,"reflexive","fp",71,"reflexive fp",4,0,168,168,-0.5,0.5
"122",1,9,"reflexive","fp",71,"reflexive fp",1,0,151,151,0.5,-0.5
"124",1,19,"reflexive","fp",71,"reflexive fp",3,0,173,173,-0.5,-0.5
"126",1,24,"reflexive","fp",71,"reflexive fp",4,0,181,181,-0.5,0.5
"128",1,12,"reflexive","fp",71,"reflexive fp",4,0,369,369,-0.5,0.5
"130",1,20,"reflexive","fp",71,"reflexive fp",4,1,0,NA,-0.5,0.5
"132",1,10,"reflexive","fp",71,"reflexive fp",2,0,270,270,0.5,0.5
"134",1,11,"reflexive","fp",71,"reflexive fp",3,0,466,466,-0.5,-0.5
"136",1,16,"reflexive","fp",71,"reflexive fp",4,0,250,250,-0.5,0.5
"138",1,7,"reflexive","fp",71,"reflexive fp",3,0,281,281,-0.5,-0.5
"140",1,2,"reflexive","fp",71,"reflexive fp",2,0,159,159,0.5,0.5
"142",1,21,"reflexive","fp",71,"reflexive fp",1,0,183,183,0.5,-0.5
"144",1,23,"reflexive","fp",71,"reflexive fp",3,0,157,157,-0.5,-0.5
"962",2,16,"reflexive","fp",71,"reflexive fp",1,0,359,359,0.5,-0.5
"964",2,4,"reflexive","fp",71,"reflexive fp",1,0,614,614,0.5,-0.5
"966",2,2,"reflexive","fp",71,"reflexive fp",3,0,231,231,-0.5,-0.5
"968",2,13,"reflexive","fp",71,"reflexive fp",2,0,283,283,0.5,0.5
"970",2,19,"reflexive","fp",71,"reflexive fp",4,0,428,428,-0.5,0.5
"972",2,12,"reflexive","fp",71,"reflexive fp",1,0,126,126,0.5,-0.5
"974",2,10,"reflexive","fp",71,"reflexive fp",3,0,178,178,-0.5,-0.5
"976",2,3,"reflexive","fp",71,"reflexive fp",4,1,0,NA,-0.5,0.5
"978",2,9,"reflexive","fp",71,"reflexive fp",2,0,192,192,0.5,0.5
"980",2,21,"reflexive","fp",71,"reflexive fp",2,0,166,166,0.5,0.5
"982",2,15,"reflexive","fp",71,"reflexive fp",4,0,417,417,-0.5,0.5
"984",2,18,"reflexive","fp",71,"reflexive fp",3,1,0,NA,-0.5,-0.5
"986",2,6,"reflexive","fp",71,"reflexive fp",3,1,0,NA,-0.5,-0.5
"988",2,5,"reflexive","fp",71,"reflexive fp",2,1,0,NA,0.5,0.5
"990",2,14,"reflexive","fp",71,"reflexive fp",3,0,163,163,-0.5,-0.5
"992",2,1,"reflexive","fp",71,"reflexive fp",2,0,162,162,0.5,0.5
"994",2,20,"reflexive","fp",71,"reflexive fp",1,1,0,NA,0.5,-0.5
"996",2,11,"reflexive","fp",71,"reflexive fp",4,0,207,207,-0.5,0.5
"998",2,7,"reflexive","fp",71,"reflexive fp",4,0,430,430,-0.5,0.5
"1000",2,23,"reflexive","fp",71,"reflexive fp",4,0,364,364,-0.5,0.5
"1002",2,8,"reflexive","fp",71,"reflexive fp",1,0,280,280,0.5,-0.5
"1004",2,17,"reflexive","fp",71,"reflexive fp",2,0,245,245,0.5,0.5
"1006",2,24,"reflexive","fp",71,"reflexive fp",1,1,0,NA,0.5,-0.5
"1008",2,22,"reflexive","fp",71,"reflexive fp",3,1,0,NA,-0.5,-0.5
"1826",3,18,"reflexive","fp",74,"reflexive fp",4,0,424,424,-0.5,0.5
"1828",3,7,"reflexive","fp",74,"reflexive fp",1,0,393,393,0.5,-0.5
"1830",3,16,"reflexive","fp",74,"reflexive fp",2,0,225,225,0.5,0.5
"1832",3,5,"reflexive","fp",74,"reflexive fp",3,0,236,236,-0.5,-0.5
"1834",3,24,"reflexive","fp",74,"reflexive fp",2,0,199,199,0.5,0.5
"1836",3,4,"reflexive","fp",74,"reflexive fp",2,0,505,505,0.5,0.5
"1838",3,14,"reflexive","fp",74,"reflexive fp",4,0,255,255,-0.5,0.5
"1840",3,1,"reflexive","fp",74,"reflexive fp",3,0,389,389,-0.5,-0.5
"1842",3,9,"reflexive","fp",74,"reflexive fp",3,0,176,176,-0.5,-0.5
