"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"1",15362,"Native",1,24,"reflexive","rp","reflexive rp",4,1,0,NA,0.5,0.5
"2",15364,"Native",1,12,"reflexive","rp","reflexive rp",4,0,230,230,0.5,0.5
"3",15366,"Native",1,6,"reflexive","rp","reflexive rp",2,1,0,NA,0.5,0.5
"4",15368,"Native",1,7,"reflexive","rp","reflexive rp",3,0,322,322,0.5,0.5
"5",15370,"Native",1,14,"reflexive","rp","reflexive rp",2,0,636,636,0.5,0.5
"6",15372,"Native",1,21,"reflexive","rp","reflexive rp",1,0,183,183,0.5,0.5
"7",15374,"Native",1,19,"reflexive","rp","reflexive rp",3,0,189,189,0.5,0.5
"8",15376,"Native",1,17,"reflexive","rp","reflexive rp",1,0,297,297,0.5,0.5
"9",15378,"Native",1,10,"reflexive","rp","reflexive rp",2,0,218,218,0.5,0.5
"10",15380,"Native",1,23,"reflexive","rp","reflexive rp",3,0,690,690,0.5,0.5
"11",15382,"Native",1,15,"reflexive","rp","reflexive rp",3,1,0,NA,0.5,0.5
"12",15384,"Native",1,1,"reflexive","rp","reflexive rp",1,0,317,317,0.5,0.5
"13",15386,"Native",1,2,"reflexive","rp","reflexive rp",2,0,196,196,0.5,0.5
"14",15388,"Native",1,5,"reflexive","rp","reflexive rp",1,0,179,179,0.5,0.5
"15",15390,"Native",1,16,"reflexive","rp","reflexive rp",4,0,228,228,0.5,0.5
"16",15392,"Native",1,3,"reflexive","rp","reflexive rp",3,0,224,224,0.5,0.5
"17",15394,"Native",1,13,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,0.5
"18",15396,"Native",1,11,"reflexive","rp","reflexive rp",3,0,191,191,0.5,0.5
"19",15398,"Native",1,9,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,0.5
"20",15400,"Native",1,8,"reflexive","rp","reflexive rp",4,0,211,211,0.5,0.5
"21",15402,"Native",1,4,"reflexive","rp","reflexive rp",4,0,287,287,0.5,0.5
"22",15404,"Native",1,20,"reflexive","rp","reflexive rp",4,0,177,177,0.5,0.5
"23",15406,"Native",1,18,"reflexive","rp","reflexive rp",2,0,318,318,0.5,0.5
"24",15408,"Native",1,22,"reflexive","rp","reflexive rp",2,0,285,285,0.5,0.5
"25",15410,"Native",2,14,"reflexive","rp","reflexive rp",3,0,250,250,0.5,0.5
"26",15412,"Native",2,4,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,0.5
"27",15414,"Native",2,19,"reflexive","rp","reflexive rp",4,1,0,NA,0.5,0.5
"28",15416,"Native",2,1,"reflexive","rp","reflexive rp",2,0,263,263,0.5,0.5
"29",15418,"Native",2,5,"reflexive","rp","reflexive rp",2,1,0,NA,0.5,0.5
"30",15420,"Native",2,15,"reflexive","rp","reflexive rp",4,0,3214,3214,0.5,0.5
"31",15422,"Native",2,7,"reflexive","rp","reflexive rp",4,0,243,243,0.5,0.5
"32",15424,"Native",2,18,"reflexive","rp","reflexive rp",3,1,0,NA,0.5,0.5
"33",15426,"Native",2,6,"reflexive","rp","reflexive rp",3,1,0,NA,0.5,0.5
"34",15428,"Native",2,22,"reflexive","rp","reflexive rp",3,0,745,745,0.5,0.5
"35",15430,"Native",2,10,"reflexive","rp","reflexive rp",3,0,835,835,0.5,0.5
"36",15432,"Native",2,8,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,0.5
"37",15434,"Native",2,24,"reflexive","rp","reflexive rp",1,0,172,172,0.5,0.5
"38",15436,"Native",2,17,"reflexive","rp","reflexive rp",2,0,166,166,0.5,0.5
"39",15438,"Native",2,2,"reflexive","rp","reflexive rp",3,1,0,NA,0.5,0.5
"40",15440,"Native",2,11,"reflexive","rp","reflexive rp",4,1,0,NA,0.5,0.5
"41",15442,"Native",2,3,"reflexive","rp","reflexive rp",4,0,231,231,0.5,0.5
"42",15444,"Native",2,21,"reflexive","rp","reflexive rp",2,0,138,138,0.5,0.5
"43",15446,"Native",2,20,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,0.5
"44",15448,"Native",2,16,"reflexive","rp","reflexive rp",1,0,561,561,0.5,0.5
"45",15450,"Native",2,13,"reflexive","rp","reflexive rp",2,0,181,181,0.5,0.5
"46",15452,"Native",2,9,"reflexive","rp","reflexive rp",2,1,0,NA,0.5,0.5
"47",15454,"Native",2,12,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,0.5
"48",15456,"Native",2,23,"reflexive","rp","reflexive rp",4,0,294,294,0.5,0.5
"49",15457,"Native",3,11,"reflexive","rp","reflexive rp",1,0,244,244,0.5,0.5
"50",15459,"Native",3,21,"reflexive","rp","reflexive rp",3,0,322,322,0.5,0.5
"51",15461,"Native",3,2,"reflexive","rp","reflexive rp",4,0,1315,1315,0.5,0.5
"52",15463,"Native",3,20,"reflexive","rp","reflexive rp",2,0,238,238,0.5,0.5
"53",15465,"Native",3,9,"reflexive","rp","reflexive rp",3,0,218,218,0.5,0.5
"54",15467,"Native",3,4,"reflexive","rp","reflexive rp",2,0,317,317,0.5,0.5
"55",15469,"Native",3,3,"reflexive","rp","reflexive rp",1,0,321,321,0.5,0.5
"56",15471,"Native",3,1,"reflexive","rp","reflexive rp",3,1,0,NA,0.5,0.5
"57",15473,"Native",3,13,"reflexive","rp","reflexive rp",3,0,237,237,0.5,0.5
"58",15475,"Native",3,18,"reflexive","rp","reflexive rp",4,0,376,376,0.5,0.5
"59",15477,"Native",3,7,"reflexive","rp","reflexive rp",1,0,821,821,0.5,0.5
"60",15479,"Native",3,5,"reflexive","rp","reflexive rp",3,0,303,303,0.5,0.5
"61",15481,"Native",3,15,"reflexive","rp","reflexive rp",1,0,154,154,0.5,0.5
