"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","gender","trimmed_nozero"
"26728",1,18,"reflexive","tt","reflexive tt",2,0,662,662,59,0.5,0.5,662
"26730",1,15,"reflexive","tt","reflexive tt",3,0,346,346,59,-0.5,-0.5,346
"26732",1,1,"reflexive","tt","reflexive tt",1,0,188,188,59,0.5,-0.5,188
"26734",1,6,"reflexive","tt","reflexive tt",2,0,165,165,59,0.5,0.5,165
"26736",1,3,"reflexive","tt","reflexive tt",3,0,188,188,59,-0.5,-0.5,188
"26738",1,14,"reflexive","tt","reflexive tt",2,1,0,NA,59,0.5,0.5,NA
"26740",1,4,"reflexive","tt","reflexive tt",4,0,332,332,59,-0.5,0.5,332
"26742",1,17,"reflexive","tt","reflexive tt",1,0,160,160,59,0.5,-0.5,160
"26744",1,5,"reflexive","tt","reflexive tt",1,0,178,178,59,0.5,-0.5,178
"26746",1,13,"reflexive","tt","reflexive tt",1,0,198,198,59,0.5,-0.5,198
"26748",1,22,"reflexive","tt","reflexive tt",2,0,309,309,59,0.5,0.5,309
"26750",1,8,"reflexive","tt","reflexive tt",4,0,965,965,59,-0.5,0.5,965
"26752",1,9,"reflexive","tt","reflexive tt",1,0,151,151,59,0.5,-0.5,151
"26754",1,19,"reflexive","tt","reflexive tt",3,0,425,425,59,-0.5,-0.5,425
"26756",1,24,"reflexive","tt","reflexive tt",4,0,461,461,59,-0.5,0.5,461
"26758",1,12,"reflexive","tt","reflexive tt",4,0,924,924,59,-0.5,0.5,924
"26760",1,20,"reflexive","tt","reflexive tt",4,1,0,NA,59,-0.5,0.5,NA
"26762",1,10,"reflexive","tt","reflexive tt",2,0,919,919,59,0.5,0.5,919
"26764",1,11,"reflexive","tt","reflexive tt",3,0,466,466,59,-0.5,-0.5,466
"26766",1,16,"reflexive","tt","reflexive tt",4,0,421,421,59,-0.5,0.5,421
"26768",1,7,"reflexive","tt","reflexive tt",3,0,1125,1125,59,-0.5,-0.5,1125
"26770",1,2,"reflexive","tt","reflexive tt",2,0,420,420,59,0.5,0.5,420
"26772",1,21,"reflexive","tt","reflexive tt",1,0,183,183,59,0.5,-0.5,183
"26774",1,23,"reflexive","tt","reflexive tt",3,0,157,157,59,-0.5,-0.5,157
"26776",2,16,"reflexive","tt","reflexive tt",1,0,359,359,59,0.5,-0.5,359
"26778",2,4,"reflexive","tt","reflexive tt",1,0,614,614,59,0.5,-0.5,614
"26780",2,2,"reflexive","tt","reflexive tt",3,0,519,519,59,-0.5,-0.5,519
"26782",2,13,"reflexive","tt","reflexive tt",2,0,283,283,59,0.5,0.5,283
"26784",2,19,"reflexive","tt","reflexive tt",4,0,428,428,59,-0.5,0.5,428
"26786",2,12,"reflexive","tt","reflexive tt",1,0,650,650,59,0.5,-0.5,650
"26788",2,10,"reflexive","tt","reflexive tt",3,0,178,178,59,-0.5,-0.5,178
"26790",2,3,"reflexive","tt","reflexive tt",4,1,0,NA,59,-0.5,0.5,NA
"26792",2,9,"reflexive","tt","reflexive tt",2,0,192,192,59,0.5,0.5,192
"26794",2,21,"reflexive","tt","reflexive tt",2,0,166,166,59,0.5,0.5,166
"26796",2,15,"reflexive","tt","reflexive tt",4,0,417,417,59,-0.5,0.5,417
"26798",2,18,"reflexive","tt","reflexive tt",3,0,194,194,59,-0.5,-0.5,194
"26800",2,6,"reflexive","tt","reflexive tt",3,0,270,270,59,-0.5,-0.5,270
"26802",2,5,"reflexive","tt","reflexive tt",2,0,192,192,59,0.5,0.5,192
"26804",2,14,"reflexive","tt","reflexive tt",3,0,163,163,59,-0.5,-0.5,163
"26806",2,1,"reflexive","tt","reflexive tt",2,0,162,162,59,0.5,0.5,162
"26808",2,20,"reflexive","tt","reflexive tt",1,1,0,NA,59,0.5,-0.5,NA
"26810",2,11,"reflexive","tt","reflexive tt",4,0,207,207,59,-0.5,0.5,207
"26812",2,7,"reflexive","tt","reflexive tt",4,0,430,430,59,-0.5,0.5,430
"26814",2,23,"reflexive","tt","reflexive tt",4,0,364,364,59,-0.5,0.5,364
