"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"338",1,18,"spillover1","rp",71,0.5,"spillover1 rp",2,0,243,243,0.5,0.5,243
"340",1,15,"spillover1","rp",71,0.5,"spillover1 rp",3,0,219,219,-0.5,-0.5,219
"342",1,1,"spillover1","rp",71,0.5,"spillover1 rp",1,0,4587,4587,0.5,-0.5,4587
"344",1,6,"spillover1","rp",71,0.5,"spillover1 rp",2,0,2798,2798,0.5,0.5,2798
"346",1,3,"spillover1","rp",71,0.5,"spillover1 rp",3,0,731,731,-0.5,-0.5,731
"348",1,14,"spillover1","rp",71,0.5,"spillover1 rp",2,0,333,333,0.5,0.5,333
"350",1,4,"spillover1","rp",71,0.5,"spillover1 rp",4,0,121,121,-0.5,0.5,121
"352",1,17,"spillover1","rp",71,0.5,"spillover1 rp",1,0,588,588,0.5,-0.5,588
"354",1,5,"spillover1","rp",71,0.5,"spillover1 rp",1,0,733,733,0.5,-0.5,733
"356",1,13,"spillover1","rp",71,0.5,"spillover1 rp",1,0,2806,2806,0.5,-0.5,2806
"358",1,22,"spillover1","rp",71,0.5,"spillover1 rp",2,0,304,304,0.5,0.5,304
"360",1,8,"spillover1","rp",71,0.5,"spillover1 rp",4,0,178,178,-0.5,0.5,178
"362",1,9,"spillover1","rp",71,0.5,"spillover1 rp",1,0,2628,2628,0.5,-0.5,2628
"364",1,19,"spillover1","rp",71,0.5,"spillover1 rp",3,0,220,220,-0.5,-0.5,220
"366",1,24,"spillover1","rp",71,0.5,"spillover1 rp",4,0,181,181,-0.5,0.5,181
"368",1,12,"spillover1","rp",71,0.5,"spillover1 rp",4,0,210,210,-0.5,0.5,210
"370",1,20,"spillover1","rp",71,0.5,"spillover1 rp",4,0,184,184,-0.5,0.5,184
"372",1,10,"spillover1","rp",71,0.5,"spillover1 rp",2,0,2289,2289,0.5,0.5,2289
"374",1,11,"spillover1","rp",71,0.5,"spillover1 rp",3,0,231,231,-0.5,-0.5,231
"376",1,16,"spillover1","rp",71,0.5,"spillover1 rp",4,0,174,174,-0.5,0.5,174
"378",1,7,"spillover1","rp",71,0.5,"spillover1 rp",3,0,392,392,-0.5,-0.5,392
"380",1,2,"spillover1","rp",71,0.5,"spillover1 rp",2,0,219,219,0.5,0.5,219
"382",1,21,"spillover1","rp",71,0.5,"spillover1 rp",1,0,168,168,0.5,-0.5,168
"384",1,23,"spillover1","rp",71,0.5,"spillover1 rp",3,0,311,311,-0.5,-0.5,311
"1202",2,16,"spillover1","rp",71,0.5,"spillover1 rp",1,0,338,338,0.5,-0.5,338
"1204",2,4,"spillover1","rp",71,0.5,"spillover1 rp",1,0,481,481,0.5,-0.5,481
"1206",2,2,"spillover1","rp",71,0.5,"spillover1 rp",3,0,985,985,-0.5,-0.5,985
"1208",2,13,"spillover1","rp",71,0.5,"spillover1 rp",2,0,485,485,0.5,0.5,485
"1210",2,19,"spillover1","rp",71,0.5,"spillover1 rp",4,0,369,369,-0.5,0.5,369
"1212",2,12,"spillover1","rp",71,0.5,"spillover1 rp",1,0,1484,1484,0.5,-0.5,1484
"1214",2,10,"spillover1","rp",71,0.5,"spillover1 rp",3,0,268,268,-0.5,-0.5,268
"1216",2,3,"spillover1","rp",71,0.5,"spillover1 rp",4,0,552,552,-0.5,0.5,552
"1218",2,9,"spillover1","rp",71,0.5,"spillover1 rp",2,0,229,229,0.5,0.5,229
"1220",2,21,"spillover1","rp",71,0.5,"spillover1 rp",2,0,178,178,0.5,0.5,178
"1222",2,15,"spillover1","rp",71,0.5,"spillover1 rp",4,0,313,313,-0.5,0.5,313
"1224",2,18,"spillover1","rp",71,0.5,"spillover1 rp",3,0,701,701,-0.5,-0.5,701
"1226",2,6,"spillover1","rp",71,0.5,"spillover1 rp",3,0,555,555,-0.5,-0.5,555
"1228",2,5,"spillover1","rp",71,0.5,"spillover1 rp",2,0,197,197,0.5,0.5,197
"1230",2,14,"spillover1","rp",71,0.5,"spillover1 rp",3,0,510,510,-0.5,-0.5,510
"1232",2,1,"spillover1","rp",71,0.5,"spillover1 rp",2,0,539,539,0.5,0.5,539
"1234",2,20,"spillover1","rp",71,0.5,"spillover1 rp",1,0,1463,1463,0.5,-0.5,1463
"1236",2,11,"spillover1","rp",71,0.5,"spillover1 rp",4,0,467,467,-0.5,0.5,467
"1238",2,7,"spillover1","rp",71,0.5,"spillover1 rp",4,0,494,494,-0.5,0.5,494
"1240",2,23,"spillover1","rp",71,0.5,"spillover1 rp",4,0,537,537,-0.5,0.5,537
"1242",2,8,"spillover1","rp",71,0.5,"spillover1 rp",1,0,159,159,0.5,-0.5,159
"1244",2,17,"spillover1","rp",71,0.5,"spillover1 rp",2,0,528,528,0.5,0.5,528
"1246",2,24,"spillover1","rp",71,0.5,"spillover1 rp",1,0,404,404,0.5,-0.5,404
"1248",2,22,"spillover1","rp",71,0.5,"spillover1 rp",3,0,334,334,-0.5,-0.5,334
"2066",3,18,"spillover1","rp",74,-0.5,"spillover1 rp",4,0,243,243,-0.5,0.5,243
"2068",3,7,"spillover1","rp",74,-0.5,"spillover1 rp",1,0,5383,5383,0.5,-0.5,NA
"2070",3,16,"spillover1","rp",74,-0.5,"spillover1 rp",2,0,2481,2481,0.5,0.5,2481
"2072",3,5,"spillover1","rp",74,-0.5,"spillover1 rp",3,0,227,227,-0.5,-0.5,227
"2074",3,24,"spillover1","rp",74,-0.5,"spillover1 rp",2,0,580,580,0.5,0.5,580
"2076",3,4,"spillover1","rp",74,-0.5,"spillover1 rp",2,0,3461,3461,0.5,0.5,3461
"2078",3,14,"spillover1","rp",74,-0.5,"spillover1 rp",4,0,717,717,-0.5,0.5,717
"2080",3,1,"spillover1","rp",74,-0.5,"spillover1 rp",3,0,347,347,-0.5,-0.5,347
"2082",3,9,"spillover1","rp",74,-0.5,"spillover1 rp",3,0,299,299,-0.5,-0.5,299
"2084",3,22,"spillover1","rp",74,-0.5,"spillover1 rp",4,0,309,309,-0.5,0.5,309
"2086",3,10,"spillover1","rp",74,-0.5,"spillover1 rp",4,0,382,382,-0.5,0.5,382
"2088",3,6,"spillover1","rp",74,-0.5,"spillover1 rp",4,0,702,702,-0.5,0.5,702
"2090",3,23,"spillover1","rp",74,-0.5,"spillover1 rp",1,0,484,484,0.5,-0.5,484
"2092",3,17,"spillover1","rp",74,-0.5,"spillover1 rp",3,0,511,511,-0.5,-0.5,511
"2094",3,19,"spillover1","rp",74,-0.5,"spillover1 rp",1,0,2426,2426,0.5,-0.5,2426
"2096",3,13,"spillover1","rp",74,-0.5,"spillover1 rp",3,0,314,314,-0.5,-0.5,314
"2098",3,20,"spillover1","rp",74,-0.5,"spillover1 rp",2,0,563,563,0.5,0.5,563
"2100",3,11,"spillover1","rp",74,-0.5,"spillover1 rp",1,0,451,451,0.5,-0.5,451
"2102",3,2,"spillover1","rp",74,-0.5,"spillover1 rp",4,0,250,250,-0.5,0.5,250
"2104",3,12,"spillover1","rp",74,-0.5,"spillover1 rp",2,0,705,705,0.5,0.5,705
"2106",3,21,"spillover1","rp",74,-0.5,"spillover1 rp",3,0,208,208,-0.5,-0.5,208
"2108",3,15,"spillover1","rp",74,-0.5,"spillover1 rp",1,0,254,254,0.5,-0.5,254
"2110",3,8,"spillover1","rp",74,-0.5,"spillover1 rp",2,0,269,269,0.5,0.5,269
"2112",3,3,"spillover1","rp",74,-0.5,"spillover1 rp",1,0,731,731,0.5,-0.5,731
"2902",4,7,"spillover1","rp",72,-0.5,"spillover1 rp",2,0,431,431,0.5,0.5,431
"2904",4,8,"spillover1","rp",72,-0.5,"spillover1 rp",3,0,444,444,-0.5,-0.5,444
"2906",4,11,"spillover1","rp",72,-0.5,"spillover1 rp",2,0,278,278,0.5,0.5,278
"2908",4,22,"spillover1","rp",72,-0.5,"spillover1 rp",1,0,422,422,0.5,-0.5,422
"2910",4,1,"spillover1","rp",72,-0.5,"spillover1 rp",4,0,483,483,-0.5,0.5,483
"2912",4,20,"spillover1","rp",72,-0.5,"spillover1 rp",3,0,496,496,-0.5,-0.5,496
"2914",4,23,"spillover1","rp",72,-0.5,"spillover1 rp",2,0,500,500,0.5,0.5,500
"2916",4,3,"spillover1","rp",72,-0.5,"spillover1 rp",2,0,737,737,0.5,0.5,737
"2919",4,19,"spillover1","rp",72,-0.5,"spillover1 rp",2,0,474,474,0.5,0.5,474
"2921",4,13,"spillover1","rp",72,-0.5,"spillover1 rp",4,0,506,506,-0.5,0.5,506
"2923",4,9,"spillover1","rp",72,-0.5,"spillover1 rp",4,0,516,516,-0.5,0.5,516
"2925",4,2,"spillover1","rp",72,-0.5,"spillover1 rp",1,0,504,504,0.5,-0.5,504
"2928",4,4,"spillover1","rp",72,-0.5,"spillover1 rp",3,0,389,389,-0.5,-0.5,389
"2930",4,12,"spillover1","rp",72,-0.5,"spillover1 rp",3,0,2145,2145,-0.5,-0.5,NA
"2932",4,16,"spillover1","rp",72,-0.5,"spillover1 rp",3,0,478,478,-0.5,-0.5,478
"2935",4,18,"spillover1","rp",72,-0.5,"spillover1 rp",1,0,501,501,0.5,-0.5,501
"2937",4,24,"spillover1","rp",72,-0.5,"spillover1 rp",3,0,489,489,-0.5,-0.5,489
"2939",4,6,"spillover1","rp",72,-0.5,"spillover1 rp",1,0,501,501,0.5,-0.5,501
"2941",4,17,"spillover1","rp",72,-0.5,"spillover1 rp",4,0,1143,1143,-0.5,0.5,1143
"2944",4,14,"spillover1","rp",72,-0.5,"spillover1 rp",1,0,433,433,0.5,-0.5,433
"3721",5,13,"spillover1","rp",66,0.5,"spillover1 rp",1,0,334,334,0.5,-0.5,334
"3723",5,4,"spillover1","rp",66,0.5,"spillover1 rp",4,0,348,348,-0.5,0.5,348
"3725",5,9,"spillover1","rp",66,0.5,"spillover1 rp",1,0,412,412,0.5,-0.5,412
"3727",5,8,"spillover1","rp",66,0.5,"spillover1 rp",4,0,379,379,-0.5,0.5,379
"3729",5,7,"spillover1","rp",66,0.5,"spillover1 rp",3,0,326,326,-0.5,-0.5,326
"3731",5,16,"spillover1","rp",66,0.5,"spillover1 rp",4,0,937,937,-0.5,0.5,937
"3733",5,19,"spillover1","rp",66,0.5,"spillover1 rp",3,0,335,335,-0.5,-0.5,335
"3735",5,17,"spillover1","rp",66,0.5,"spillover1 rp",1,0,656,656,0.5,-0.5,656
"3737",5,3,"spillover1","rp",66,0.5,"spillover1 rp",3,0,1578,1578,-0.5,-0.5,1578
"3739",5,14,"spillover1","rp",66,0.5,"spillover1 rp",2,0,790,790,0.5,0.5,790
"3741",5,1,"spillover1","rp",66,0.5,"spillover1 rp",1,0,806,806,0.5,-0.5,806
"3743",5,15,"spillover1","rp",66,0.5,"spillover1 rp",3,0,386,386,-0.5,-0.5,386
"3745",5,22,"spillover1","rp",66,0.5,"spillover1 rp",2,0,196,196,0.5,0.5,196
"3747",5,18,"spillover1","rp",66,0.5,"spillover1 rp",2,0,408,408,0.5,0.5,408
"3749",5,5,"spillover1","rp",66,0.5,"spillover1 rp",1,0,1139,1139,0.5,-0.5,1139
"3751",5,2,"spillover1","rp",66,0.5,"spillover1 rp",2,0,753,753,0.5,0.5,753
"3753",5,23,"spillover1","rp",66,0.5,"spillover1 rp",3,0,556,556,-0.5,-0.5,556
"3755",5,21,"spillover1","rp",66,0.5,"spillover1 rp",1,0,274,274,0.5,-0.5,274
"3757",5,20,"spillover1","rp",66,0.5,"spillover1 rp",4,0,781,781,-0.5,0.5,781
"3759",5,10,"spillover1","rp",66,0.5,"spillover1 rp",2,0,358,358,0.5,0.5,358
"3761",5,12,"spillover1","rp",66,0.5,"spillover1 rp",4,0,749,749,-0.5,0.5,749
"3763",5,11,"spillover1","rp",66,0.5,"spillover1 rp",3,0,730,730,-0.5,-0.5,730
"3765",5,24,"spillover1","rp",66,0.5,"spillover1 rp",4,0,923,923,-0.5,0.5,923
"3767",5,6,"spillover1","rp",66,0.5,"spillover1 rp",2,0,303,303,0.5,0.5,303
"4578",6,12,"spillover1","rp",89,-0.5,"spillover1 rp",1,0,1550,1550,0.5,-0.5,1550
"4580",6,16,"spillover1","rp",89,-0.5,"spillover1 rp",1,0,400,400,0.5,-0.5,400
"4582",6,13,"spillover1","rp",89,-0.5,"spillover1 rp",2,0,946,946,0.5,0.5,946
"4584",6,7,"spillover1","rp",89,-0.5,"spillover1 rp",4,0,244,244,-0.5,0.5,244
"4586",6,18,"spillover1","rp",89,-0.5,"spillover1 rp",3,0,228,228,-0.5,-0.5,228
"4588",6,21,"spillover1","rp",89,-0.5,"spillover1 rp",2,0,236,236,0.5,0.5,236
"4590",6,14,"spillover1","rp",89,-0.5,"spillover1 rp",3,1,0,NA,-0.5,-0.5,NA
"4592",6,4,"spillover1","rp",89,-0.5,"spillover1 rp",1,0,500,500,0.5,-0.5,500
"4594",6,5,"spillover1","rp",89,-0.5,"spillover1 rp",2,0,1726,1726,0.5,0.5,1726
"4596",6,10,"spillover1","rp",89,-0.5,"spillover1 rp",3,0,190,190,-0.5,-0.5,190
"4598",6,3,"spillover1","rp",89,-0.5,"spillover1 rp",4,0,382,382,-0.5,0.5,382
"4600",6,11,"spillover1","rp",89,-0.5,"spillover1 rp",4,0,142,142,-0.5,0.5,142
"4602",6,24,"spillover1","rp",89,-0.5,"spillover1 rp",1,0,342,342,0.5,-0.5,342
"4604",6,17,"spillover1","rp",89,-0.5,"spillover1 rp",2,0,258,258,0.5,0.5,258
"4606",6,2,"spillover1","rp",89,-0.5,"spillover1 rp",3,0,306,306,-0.5,-0.5,306
"4608",6,9,"spillover1","rp",89,-0.5,"spillover1 rp",2,0,996,996,0.5,0.5,996
"4610",6,15,"spillover1","rp",89,-0.5,"spillover1 rp",4,0,272,272,-0.5,0.5,272
"4612",6,19,"spillover1","rp",89,-0.5,"spillover1 rp",4,0,264,264,-0.5,0.5,264
"4615",6,1,"spillover1","rp",89,-0.5,"spillover1 rp",2,0,478,478,0.5,0.5,478
"4617",6,8,"spillover1","rp",89,-0.5,"spillover1 rp",1,0,726,726,0.5,-0.5,726
"4619",6,20,"spillover1","rp",89,-0.5,"spillover1 rp",1,0,1730,1730,0.5,-0.5,1730
"4621",6,23,"spillover1","rp",89,-0.5,"spillover1 rp",4,0,278,278,-0.5,0.5,278
"4623",6,6,"spillover1","rp",89,-0.5,"spillover1 rp",3,0,168,168,-0.5,-0.5,168
"5432",7,20,"spillover1","rp",77,-0.5,"spillover1 rp",2,0,299,299,0.5,0.5,299
"5434",7,4,"spillover1","rp",77,-0.5,"spillover1 rp",2,0,451,451,0.5,0.5,451
"5436",7,14,"spillover1","rp",77,-0.5,"spillover1 rp",4,0,227,227,-0.5,0.5,227
"5438",7,24,"spillover1","rp",77,-0.5,"spillover1 rp",2,0,463,463,0.5,0.5,463
"5440",7,8,"spillover1","rp",77,-0.5,"spillover1 rp",2,0,414,414,0.5,0.5,414
"5442",7,21,"spillover1","rp",77,-0.5,"spillover1 rp",3,0,249,249,-0.5,-0.5,249
"5444",7,18,"spillover1","rp",77,-0.5,"spillover1 rp",4,0,209,209,-0.5,0.5,209
"5446",7,5,"spillover1","rp",77,-0.5,"spillover1 rp",3,0,175,175,-0.5,-0.5,175
"5448",7,1,"spillover1","rp",77,-0.5,"spillover1 rp",3,0,211,211,-0.5,-0.5,211
"5450",7,19,"spillover1","rp",77,-0.5,"spillover1 rp",1,0,361,361,0.5,-0.5,361
"5452",7,16,"spillover1","rp",77,-0.5,"spillover1 rp",2,0,446,446,0.5,0.5,446
"5454",7,15,"spillover1","rp",77,-0.5,"spillover1 rp",1,0,165,165,0.5,-0.5,165
"5456",7,23,"spillover1","rp",77,-0.5,"spillover1 rp",1,0,196,196,0.5,-0.5,196
"5458",7,10,"spillover1","rp",77,-0.5,"spillover1 rp",4,0,301,301,-0.5,0.5,301
"5460",7,9,"spillover1","rp",77,-0.5,"spillover1 rp",3,0,289,289,-0.5,-0.5,289
"5462",7,6,"spillover1","rp",77,-0.5,"spillover1 rp",4,0,224,224,-0.5,0.5,224
"5464",7,2,"spillover1","rp",77,-0.5,"spillover1 rp",4,0,214,214,-0.5,0.5,214
"5466",7,7,"spillover1","rp",77,-0.5,"spillover1 rp",1,0,332,332,0.5,-0.5,332
"5468",7,13,"spillover1","rp",77,-0.5,"spillover1 rp",3,0,196,196,-0.5,-0.5,196
"5470",7,12,"spillover1","rp",77,-0.5,"spillover1 rp",2,0,349,349,0.5,0.5,349
"5472",7,11,"spillover1","rp",77,-0.5,"spillover1 rp",1,0,232,232,0.5,-0.5,232
"5474",7,3,"spillover1","rp",77,-0.5,"spillover1 rp",1,0,281,281,0.5,-0.5,281
"5476",7,17,"spillover1","rp",77,-0.5,"spillover1 rp",3,0,419,419,-0.5,-0.5,419
"5478",7,22,"spillover1","rp",77,-0.5,"spillover1 rp",4,0,293,293,-0.5,0.5,293
"6296",8,1,"spillover1","rp",70,0.5,"spillover1 rp",4,0,394,394,-0.5,0.5,394
"6298",8,10,"spillover1","rp",70,0.5,"spillover1 rp",1,0,412,412,0.5,-0.5,412
"6300",8,21,"spillover1","rp",70,0.5,"spillover1 rp",4,0,334,334,-0.5,0.5,334
"6302",8,16,"spillover1","rp",70,0.5,"spillover1 rp",3,0,380,380,-0.5,-0.5,380
"6304",8,9,"spillover1","rp",70,0.5,"spillover1 rp",4,0,332,332,-0.5,0.5,332
"6306",8,13,"spillover1","rp",70,0.5,"spillover1 rp",4,0,898,898,-0.5,0.5,898
"6308",8,4,"spillover1","rp",70,0.5,"spillover1 rp",3,0,332,332,-0.5,-0.5,332
"6310",8,17,"spillover1","rp",70,0.5,"spillover1 rp",4,0,558,558,-0.5,0.5,558
"6312",8,14,"spillover1","rp",70,0.5,"spillover1 rp",1,0,3928,3928,0.5,-0.5,3928
"6314",8,12,"spillover1","rp",70,0.5,"spillover1 rp",3,0,594,594,-0.5,-0.5,594
"6316",8,15,"spillover1","rp",70,0.5,"spillover1 rp",2,0,1242,1242,0.5,0.5,1242
"6318",8,8,"spillover1","rp",70,0.5,"spillover1 rp",3,0,284,284,-0.5,-0.5,284
"6320",8,6,"spillover1","rp",70,0.5,"spillover1 rp",1,0,280,280,0.5,-0.5,280
