"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"626",1,18,"spillover1","tt",71,0.5,"spillover1 tt",2,0,514,514,0.5,0.5,514
"628",1,15,"spillover1","tt",71,0.5,"spillover1 tt",3,0,381,381,-0.5,-0.5,381
"630",1,1,"spillover1","tt",71,0.5,"spillover1 tt",1,0,773,773,0.5,-0.5,773
"632",1,6,"spillover1","tt",71,0.5,"spillover1 tt",2,0,478,478,0.5,0.5,478
"634",1,3,"spillover1","tt",71,0.5,"spillover1 tt",3,0,455,455,-0.5,-0.5,455
"636",1,14,"spillover1","tt",71,0.5,"spillover1 tt",2,0,333,333,0.5,0.5,333
"638",1,4,"spillover1","tt",71,0.5,"spillover1 tt",4,0,489,489,-0.5,0.5,489
"640",1,17,"spillover1","tt",71,0.5,"spillover1 tt",1,0,800,800,0.5,-0.5,800
"642",1,5,"spillover1","tt",71,0.5,"spillover1 tt",1,0,733,733,0.5,-0.5,733
"644",1,13,"spillover1","tt",71,0.5,"spillover1 tt",1,0,515,515,0.5,-0.5,515
"646",1,22,"spillover1","tt",71,0.5,"spillover1 tt",2,0,304,304,0.5,0.5,304
"648",1,8,"spillover1","tt",71,0.5,"spillover1 tt",4,0,667,667,-0.5,0.5,667
"650",1,9,"spillover1","tt",71,0.5,"spillover1 tt",1,0,761,761,0.5,-0.5,761
"652",1,19,"spillover1","tt",71,0.5,"spillover1 tt",3,0,220,220,-0.5,-0.5,220
"654",1,24,"spillover1","tt",71,0.5,"spillover1 tt",4,0,411,411,-0.5,0.5,411
"656",1,12,"spillover1","tt",71,0.5,"spillover1 tt",4,0,1053,1053,-0.5,0.5,1053
"658",1,20,"spillover1","tt",71,0.5,"spillover1 tt",4,0,184,184,-0.5,0.5,184
"660",1,10,"spillover1","tt",71,0.5,"spillover1 tt",2,0,1312,1312,0.5,0.5,1312
"662",1,11,"spillover1","tt",71,0.5,"spillover1 tt",3,0,386,386,-0.5,-0.5,386
"664",1,16,"spillover1","tt",71,0.5,"spillover1 tt",4,0,552,552,-0.5,0.5,552
"666",1,7,"spillover1","tt",71,0.5,"spillover1 tt",3,0,392,392,-0.5,-0.5,392
"668",1,2,"spillover1","tt",71,0.5,"spillover1 tt",2,0,1719,1719,0.5,0.5,1719
"670",1,21,"spillover1","tt",71,0.5,"spillover1 tt",1,0,168,168,0.5,-0.5,168
"672",1,23,"spillover1","tt",71,0.5,"spillover1 tt",3,0,522,522,-0.5,-0.5,522
"1490",2,16,"spillover1","tt",71,0.5,"spillover1 tt",1,0,338,338,0.5,-0.5,338
"1492",2,4,"spillover1","tt",71,0.5,"spillover1 tt",1,0,996,996,0.5,-0.5,996
"1494",2,2,"spillover1","tt",71,0.5,"spillover1 tt",3,0,1100,1100,-0.5,-0.5,1100
"1496",2,13,"spillover1","tt",71,0.5,"spillover1 tt",2,0,347,347,0.5,0.5,347
"1498",2,19,"spillover1","tt",71,0.5,"spillover1 tt",4,0,369,369,-0.5,0.5,369
"1500",2,12,"spillover1","tt",71,0.5,"spillover1 tt",1,0,2490,2490,0.5,-0.5,NA
"1502",2,10,"spillover1","tt",71,0.5,"spillover1 tt",3,0,268,268,-0.5,-0.5,268
"1504",2,3,"spillover1","tt",71,0.5,"spillover1 tt",4,0,552,552,-0.5,0.5,552
"1506",2,9,"spillover1","tt",71,0.5,"spillover1 tt",2,0,229,229,0.5,0.5,229
"1508",2,21,"spillover1","tt",71,0.5,"spillover1 tt",2,0,178,178,0.5,0.5,178
"1510",2,15,"spillover1","tt",71,0.5,"spillover1 tt",4,0,313,313,-0.5,0.5,313
"1512",2,18,"spillover1","tt",71,0.5,"spillover1 tt",3,0,701,701,-0.5,-0.5,701
"1514",2,6,"spillover1","tt",71,0.5,"spillover1 tt",3,0,596,596,-0.5,-0.5,596
"1516",2,5,"spillover1","tt",71,0.5,"spillover1 tt",2,0,197,197,0.5,0.5,197
"1518",2,14,"spillover1","tt",71,0.5,"spillover1 tt",3,0,510,510,-0.5,-0.5,510
"1520",2,1,"spillover1","tt",71,0.5,"spillover1 tt",2,0,539,539,0.5,0.5,539
"1522",2,20,"spillover1","tt",71,0.5,"spillover1 tt",1,0,654,654,0.5,-0.5,654
"1524",2,11,"spillover1","tt",71,0.5,"spillover1 tt",4,0,467,467,-0.5,0.5,467
"1526",2,7,"spillover1","tt",71,0.5,"spillover1 tt",4,0,494,494,-0.5,0.5,494
"1528",2,23,"spillover1","tt",71,0.5,"spillover1 tt",4,0,537,537,-0.5,0.5,537
"1530",2,8,"spillover1","tt",71,0.5,"spillover1 tt",1,0,159,159,0.5,-0.5,159
"1532",2,17,"spillover1","tt",71,0.5,"spillover1 tt",2,0,528,528,0.5,0.5,528
"1534",2,24,"spillover1","tt",71,0.5,"spillover1 tt",1,0,404,404,0.5,-0.5,404
"1536",2,22,"spillover1","tt",71,0.5,"spillover1 tt",3,0,334,334,-0.5,-0.5,334
"2354",3,18,"spillover1","tt",74,-0.5,"spillover1 tt",4,0,1550,1550,-0.5,0.5,1550
"2356",3,7,"spillover1","tt",74,-0.5,"spillover1 tt",1,0,1321,1321,0.5,-0.5,1321
"2358",3,16,"spillover1","tt",74,-0.5,"spillover1 tt",2,0,1727,1727,0.5,0.5,1727
"2360",3,5,"spillover1","tt",74,-0.5,"spillover1 tt",3,0,654,654,-0.5,-0.5,654
"2362",3,24,"spillover1","tt",74,-0.5,"spillover1 tt",2,0,1720,1720,0.5,0.5,1720
"2364",3,4,"spillover1","tt",74,-0.5,"spillover1 tt",2,0,1523,1523,0.5,0.5,1523
"2366",3,14,"spillover1","tt",74,-0.5,"spillover1 tt",4,0,1681,1681,-0.5,0.5,1681
"2368",3,1,"spillover1","tt",74,-0.5,"spillover1 tt",3,0,684,684,-0.5,-0.5,684
"2370",3,9,"spillover1","tt",74,-0.5,"spillover1 tt",3,0,299,299,-0.5,-0.5,299
"2372",3,22,"spillover1","tt",74,-0.5,"spillover1 tt",4,0,507,507,-0.5,0.5,507
"2374",3,10,"spillover1","tt",74,-0.5,"spillover1 tt",4,0,382,382,-0.5,0.5,382
"2376",3,6,"spillover1","tt",74,-0.5,"spillover1 tt",4,0,889,889,-0.5,0.5,889
"2378",3,23,"spillover1","tt",74,-0.5,"spillover1 tt",1,0,1056,1056,0.5,-0.5,1056
"2380",3,17,"spillover1","tt",74,-0.5,"spillover1 tt",3,0,511,511,-0.5,-0.5,511
"2382",3,19,"spillover1","tt",74,-0.5,"spillover1 tt",1,0,1205,1205,0.5,-0.5,1205
"2384",3,13,"spillover1","tt",74,-0.5,"spillover1 tt",3,0,314,314,-0.5,-0.5,314
"2386",3,20,"spillover1","tt",74,-0.5,"spillover1 tt",2,0,563,563,0.5,0.5,563
"2388",3,11,"spillover1","tt",74,-0.5,"spillover1 tt",1,0,451,451,0.5,-0.5,451
"2390",3,2,"spillover1","tt",74,-0.5,"spillover1 tt",4,0,767,767,-0.5,0.5,767
"2392",3,12,"spillover1","tt",74,-0.5,"spillover1 tt",2,0,1199,1199,0.5,0.5,1199
"2394",3,21,"spillover1","tt",74,-0.5,"spillover1 tt",3,0,208,208,-0.5,-0.5,208
"2396",3,15,"spillover1","tt",74,-0.5,"spillover1 tt",1,0,254,254,0.5,-0.5,254
"2398",3,8,"spillover1","tt",74,-0.5,"spillover1 tt",2,0,269,269,0.5,0.5,269
"2400",3,3,"spillover1","tt",74,-0.5,"spillover1 tt",1,0,746,746,0.5,-0.5,746
"3166",4,7,"spillover1","tt",72,-0.5,"spillover1 tt",2,0,1628,1628,0.5,0.5,1628
"3168",4,8,"spillover1","tt",72,-0.5,"spillover1 tt",3,0,444,444,-0.5,-0.5,444
"3170",4,11,"spillover1","tt",72,-0.5,"spillover1 tt",2,0,695,695,0.5,0.5,695
"3172",4,22,"spillover1","tt",72,-0.5,"spillover1 tt",1,0,1294,1294,0.5,-0.5,1294
"3174",4,1,"spillover1","tt",72,-0.5,"spillover1 tt",4,0,483,483,-0.5,0.5,483
"3176",4,20,"spillover1","tt",72,-0.5,"spillover1 tt",3,0,1051,1051,-0.5,-0.5,1051
"3178",4,23,"spillover1","tt",72,-0.5,"spillover1 tt",2,0,500,500,0.5,0.5,500
"3180",4,3,"spillover1","tt",72,-0.5,"spillover1 tt",2,0,737,737,0.5,0.5,737
"3183",4,19,"spillover1","tt",72,-0.5,"spillover1 tt",2,0,474,474,0.5,0.5,474
"3185",4,13,"spillover1","tt",72,-0.5,"spillover1 tt",4,0,506,506,-0.5,0.5,506
"3187",4,9,"spillover1","tt",72,-0.5,"spillover1 tt",4,0,1587,1587,-0.5,0.5,1587
"3189",4,2,"spillover1","tt",72,-0.5,"spillover1 tt",1,0,1295,1295,0.5,-0.5,1295
"3192",4,4,"spillover1","tt",72,-0.5,"spillover1 tt",3,0,389,389,-0.5,-0.5,389
"3194",4,12,"spillover1","tt",72,-0.5,"spillover1 tt",3,0,2145,2145,-0.5,-0.5,2145
"3196",4,16,"spillover1","tt",72,-0.5,"spillover1 tt",3,0,478,478,-0.5,-0.5,478
"3199",4,18,"spillover1","tt",72,-0.5,"spillover1 tt",1,0,501,501,0.5,-0.5,501
"3201",4,24,"spillover1","tt",72,-0.5,"spillover1 tt",3,0,489,489,-0.5,-0.5,489
"3203",4,6,"spillover1","tt",72,-0.5,"spillover1 tt",1,0,501,501,0.5,-0.5,501
"3205",4,17,"spillover1","tt",72,-0.5,"spillover1 tt",4,0,1143,1143,-0.5,0.5,1143
"3208",4,14,"spillover1","tt",72,-0.5,"spillover1 tt",1,0,433,433,0.5,-0.5,433
"4009",5,13,"spillover1","tt",66,0.5,"spillover1 tt",1,0,334,334,0.5,-0.5,334
"4011",5,4,"spillover1","tt",66,0.5,"spillover1 tt",4,0,348,348,-0.5,0.5,348
"4013",5,9,"spillover1","tt",66,0.5,"spillover1 tt",1,0,412,412,0.5,-0.5,412
"4015",5,8,"spillover1","tt",66,0.5,"spillover1 tt",4,0,1176,1176,-0.5,0.5,1176
