"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"1",5762,"Native",1,24,"spillover2","fp","spillover2 fp",4,0,323,323,0.5,0.5
"2",5764,"Native",1,12,"spillover2","fp","spillover2 fp",4,0,879,879,0.5,0.5
"3",5766,"Native",1,6,"spillover2","fp","spillover2 fp",2,0,169,169,0.5,0.5
"4",5768,"Native",1,7,"spillover2","fp","spillover2 fp",3,0,195,195,0.5,0.5
"5",5770,"Native",1,14,"spillover2","fp","spillover2 fp",2,0,644,644,0.5,0.5
"6",5772,"Native",1,21,"spillover2","fp","spillover2 fp",1,0,681,681,0.5,0.5
"7",5774,"Native",1,19,"spillover2","fp","spillover2 fp",3,0,511,511,0.5,0.5
"8",5776,"Native",1,17,"spillover2","fp","spillover2 fp",1,0,648,648,0.5,0.5
"9",5778,"Native",1,10,"spillover2","fp","spillover2 fp",2,0,126,126,0.5,0.5
"10",5780,"Native",1,23,"spillover2","fp","spillover2 fp",3,0,359,359,0.5,0.5
"11",5782,"Native",1,15,"spillover2","fp","spillover2 fp",3,0,160,160,0.5,0.5
"12",5784,"Native",1,1,"spillover2","fp","spillover2 fp",1,0,593,593,0.5,0.5
"13",5786,"Native",1,2,"spillover2","fp","spillover2 fp",2,0,150,150,0.5,0.5
"14",5788,"Native",1,5,"spillover2","fp","spillover2 fp",1,0,515,515,0.5,0.5
"15",5790,"Native",1,16,"spillover2","fp","spillover2 fp",4,0,169,169,0.5,0.5
"16",5792,"Native",1,3,"spillover2","fp","spillover2 fp",3,0,760,760,0.5,0.5
"17",5794,"Native",1,13,"spillover2","fp","spillover2 fp",1,0,178,178,0.5,0.5
"18",5796,"Native",1,11,"spillover2","fp","spillover2 fp",3,0,695,695,0.5,0.5
"19",5798,"Native",1,9,"spillover2","fp","spillover2 fp",1,0,1228,1228,0.5,0.5
"20",5800,"Native",1,8,"spillover2","fp","spillover2 fp",4,0,1052,1052,0.5,0.5
"21",5802,"Native",1,4,"spillover2","fp","spillover2 fp",4,0,642,642,0.5,0.5
"22",5804,"Native",1,20,"spillover2","fp","spillover2 fp",4,0,187,187,0.5,0.5
"23",5806,"Native",1,18,"spillover2","fp","spillover2 fp",2,0,467,467,0.5,0.5
"24",5808,"Native",1,22,"spillover2","fp","spillover2 fp",2,0,567,567,0.5,0.5
"25",5810,"Native",2,14,"spillover2","fp","spillover2 fp",3,0,301,301,0.5,0.5
"26",5812,"Native",2,4,"spillover2","fp","spillover2 fp",1,0,431,431,0.5,0.5
"27",5814,"Native",2,19,"spillover2","fp","spillover2 fp",4,0,395,395,0.5,0.5
"28",5816,"Native",2,1,"spillover2","fp","spillover2 fp",2,0,421,421,0.5,0.5
"29",5818,"Native",2,5,"spillover2","fp","spillover2 fp",2,0,359,359,0.5,0.5
"30",5820,"Native",2,15,"spillover2","fp","spillover2 fp",4,0,122,122,0.5,0.5
"31",5822,"Native",2,7,"spillover2","fp","spillover2 fp",4,0,251,251,0.5,0.5
"32",5824,"Native",2,18,"spillover2","fp","spillover2 fp",3,0,273,273,0.5,0.5
"33",5826,"Native",2,6,"spillover2","fp","spillover2 fp",3,0,439,439,0.5,0.5
"34",5828,"Native",2,22,"spillover2","fp","spillover2 fp",3,0,404,404,0.5,0.5
"35",5830,"Native",2,10,"spillover2","fp","spillover2 fp",3,0,311,311,0.5,0.5
"36",5832,"Native",2,8,"spillover2","fp","spillover2 fp",1,0,201,201,0.5,0.5
"37",5834,"Native",2,24,"spillover2","fp","spillover2 fp",1,0,125,125,0.5,0.5
"38",5836,"Native",2,17,"spillover2","fp","spillover2 fp",2,0,229,229,0.5,0.5
"39",5838,"Native",2,2,"spillover2","fp","spillover2 fp",3,0,301,301,0.5,0.5
"40",5840,"Native",2,11,"spillover2","fp","spillover2 fp",4,0,282,282,0.5,0.5
"41",5842,"Native",2,3,"spillover2","fp","spillover2 fp",4,0,328,328,0.5,0.5
"42",5844,"Native",2,21,"spillover2","fp","spillover2 fp",2,0,124,124,0.5,0.5
"43",5846,"Native",2,20,"spillover2","fp","spillover2 fp",1,0,197,197,0.5,0.5
"44",5848,"Native",2,16,"spillover2","fp","spillover2 fp",1,1,0,NA,0.5,0.5
"45",5850,"Native",2,13,"spillover2","fp","spillover2 fp",2,0,198,198,0.5,0.5
"46",5852,"Native",2,9,"spillover2","fp","spillover2 fp",2,0,188,188,0.5,0.5
"47",5854,"Native",2,12,"spillover2","fp","spillover2 fp",1,0,304,304,0.5,0.5
"48",5856,"Native",2,23,"spillover2","fp","spillover2 fp",4,0,241,241,0.5,0.5
"49",5857,"Native",3,11,"spillover2","fp","spillover2 fp",1,0,446,446,0.5,0.5
"50",5859,"Native",3,21,"spillover2","fp","spillover2 fp",3,0,802,802,0.5,0.5
