"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"1",17282,"Native",1,24,"spillover2","rp","spillover2 rp",4,0,500,500,0.5,0.5
"2",17284,"Native",1,12,"spillover2","rp","spillover2 rp",4,0,3463,3463,0.5,0.5
"3",17286,"Native",1,6,"spillover2","rp","spillover2 rp",2,0,1608,1608,0.5,0.5
"4",17288,"Native",1,7,"spillover2","rp","spillover2 rp",3,0,2258,2258,0.5,0.5
"5",17290,"Native",1,14,"spillover2","rp","spillover2 rp",2,0,644,644,0.5,0.5
"6",17292,"Native",1,21,"spillover2","rp","spillover2 rp",1,0,5010,5010,0.5,0.5
"7",17294,"Native",1,19,"spillover2","rp","spillover2 rp",3,0,668,668,0.5,0.5
"8",17296,"Native",1,17,"spillover2","rp","spillover2 rp",1,0,648,648,0.5,0.5
"9",17298,"Native",1,10,"spillover2","rp","spillover2 rp",2,0,2462,2462,0.5,0.5
"10",17300,"Native",1,23,"spillover2","rp","spillover2 rp",3,0,359,359,0.5,0.5
"11",17302,"Native",1,15,"spillover2","rp","spillover2 rp",3,0,2101,2101,0.5,0.5
"12",17304,"Native",1,1,"spillover2","rp","spillover2 rp",1,0,593,593,0.5,0.5
"13",17306,"Native",1,2,"spillover2","rp","spillover2 rp",2,0,1006,1006,0.5,0.5
"14",17308,"Native",1,5,"spillover2","rp","spillover2 rp",1,0,515,515,0.5,0.5
"15",17310,"Native",1,16,"spillover2","rp","spillover2 rp",4,0,1693,1693,0.5,0.5
"16",17312,"Native",1,3,"spillover2","rp","spillover2 rp",3,0,760,760,0.5,0.5
"17",17314,"Native",1,13,"spillover2","rp","spillover2 rp",1,0,659,659,0.5,0.5
"18",17316,"Native",1,11,"spillover2","rp","spillover2 rp",3,0,695,695,0.5,0.5
"19",17318,"Native",1,9,"spillover2","rp","spillover2 rp",1,0,1431,1431,0.5,0.5
"20",17320,"Native",1,8,"spillover2","rp","spillover2 rp",4,0,4239,4239,0.5,0.5
"21",17322,"Native",1,4,"spillover2","rp","spillover2 rp",4,0,1217,1217,0.5,0.5
"22",17324,"Native",1,20,"spillover2","rp","spillover2 rp",4,0,776,776,0.5,0.5
"23",17326,"Native",1,18,"spillover2","rp","spillover2 rp",2,0,467,467,0.5,0.5
"24",17328,"Native",1,22,"spillover2","rp","spillover2 rp",2,0,567,567,0.5,0.5
"25",17330,"Native",2,14,"spillover2","rp","spillover2 rp",3,0,738,738,0.5,0.5
"26",17332,"Native",2,4,"spillover2","rp","spillover2 rp",1,0,431,431,0.5,0.5
"27",17334,"Native",2,19,"spillover2","rp","spillover2 rp",4,0,533,533,0.5,0.5
"28",17336,"Native",2,1,"spillover2","rp","spillover2 rp",2,0,421,421,0.5,0.5
"29",17338,"Native",2,5,"spillover2","rp","spillover2 rp",2,0,3116,3116,0.5,0.5
"30",17340,"Native",2,15,"spillover2","rp","spillover2 rp",4,0,122,122,0.5,0.5
"31",17342,"Native",2,7,"spillover2","rp","spillover2 rp",4,0,1329,1329,0.5,0.5
"32",17344,"Native",2,18,"spillover2","rp","spillover2 rp",3,0,452,452,0.5,0.5
"33",17346,"Native",2,6,"spillover2","rp","spillover2 rp",3,0,439,439,0.5,0.5
